tract_geoid,county_name,state,tier,households,median_family_income,lmi_flag,lmi_basis,all_applications,all_originations,subject_originations,unmet_originations,all_origination_amt,capture_rate_pct,outside_footprint,basis_absolute,basis_per_household,basis_per_application,basis_uncaptured_apps,opportunity_type,lmi_undetermined,tract_partly_unmeasured
55105001202,Rock County,WI,metro,2429,115000,False,ffiec_ratio,260.0,195.0,4.0,191.0,49205000.0,2.051,True,191.0,0.07863,0.73462,254.67,siting - outside the footprint,False,False
55101002702,Racine County,WI,metro,2858,120286,False,ffiec_ratio,287.0,200.0,10.0,190.0,45370000.0,5.0,False,190.0,0.06648,0.66202,272.65,"conversion - present, under-capturing",False,False
17163503412,St. Clair County,IL,metro,2343,97273,False,ffiec_ratio,306.0,191.0,1.0,190.0,38745000.0,0.524,False,190.0,0.08109,0.62092,304.4,"conversion - present, under-capturing",False,False
17037001400,DeKalb County,IL,metro,2349,106105,False,ffiec_ratio,304.0,190.0,0.0,190.0,42470000.0,0.0,True,190.0,0.08089,0.625,304.0,siting - outside the footprint,False,False
17089850600,Kane County,IL,metro,3243,130357,False,ffiec_ratio,275.0,190.0,0.0,190.0,51730000.0,0.0,False,190.0,0.05859,0.69091,275.0,"conversion - present, capturing none",False,False
55073001106,Marathon County,WI,metro,2479,110455,False,ffiec_ratio,257.0,195.0,6.0,189.0,41535000.0,3.077,False,189.0,0.07624,0.73541,249.09,"conversion - present, under-capturing",False,False
55025013100,Dane County,WI,metro,1991,105417,False,ffiec_ratio,260.0,191.0,2.0,189.0,43215000.0,1.047,True,189.0,0.09493,0.72692,257.28,siting - outside the footprint,False,False
55025000407,Dane County,WI,metro,1919,93149,True,ffiec_ratio,253.0,189.0,0.0,189.0,44145000.0,0.0,False,189.0,0.09849,0.74704,253.0,"conversion - present, capturing none",False,False
55105001302,Rock County,WI,metro,2564,101382,False,ffiec_ratio,259.0,190.0,2.0,188.0,34630000.0,1.053,True,188.0,0.07332,0.72587,256.27,siting - outside the footprint,False,False
17019000902,Champaign County,IL,metro,2909,95455,False,ffiec_ratio,293.0,188.0,0.0,188.0,60980000.0,0.0,True,188.0,0.06463,0.64164,293.0,siting - outside the footprint,False,False
17119402805,Madison County,IL,metro,2157,103750,False,ffiec_ratio,273.0,196.0,8.0,188.0,38950000.0,4.082,True,188.0,0.08716,0.68864,261.86,siting - outside the footprint,False,False
55025011405,Dane County,WI,metro,2741,102188,False,ffiec_ratio,265.0,190.0,2.0,188.0,88530000.0,1.053,False,188.0,0.06859,0.70943,262.21,"conversion - present, under-capturing",False,False
55015020308,Calumet County,WI,metro,2104,142500,False,ffiec_ratio,246.0,191.0,4.0,187.0,61965000.0,2.094,False,187.0,0.08888,0.76016,240.85,"conversion - present, under-capturing",False,False
17031320101,Cook County,IL,metro,5606,209783,False,ffiec_ratio,301.0,188.0,1.0,187.0,111430000.0,0.532,False,187.0,0.03336,0.62126,299.4,"conversion - present, under-capturing",False,False
55039041300,Fond du Lac County,WI,metro,2661,91536,True,ffiec_ratio,327.0,194.0,7.0,187.0,30730000.0,3.608,False,187.0,0.07027,0.57187,315.2,"conversion - present, under-capturing",False,False
55025003001,Dane County,WI,metro,1886,119643,False,ffiec_ratio,253.0,190.0,3.0,187.0,32620000.0,1.579,False,187.0,0.09915,0.73913,249.01,"conversion - present, under-capturing",False,False
55117001000,Sheboygan County,WI,metro,2774,90750,False,ffiec_ratio,259.0,193.0,7.0,186.0,32175000.0,3.627,False,186.0,0.06705,0.71815,249.61,"conversion - present, under-capturing",False,False
17201004002,Winnebago County,IL,metro,2356,101859,False,ffiec_ratio,266.0,186.0,0.0,186.0,31960000.0,0.0,True,186.0,0.07895,0.69925,266.0,siting - outside the footprint,False,False
55025011800,Dane County,WI,metro,2331,100625,False,ffiec_ratio,266.0,187.0,1.0,186.0,35125000.0,0.535,True,186.0,0.07979,0.69925,264.58,siting - outside the footprint,False,False
17089852500,Kane County,IL,metro,2681,127854,False,ffiec_ratio,289.0,187.0,1.0,186.0,40965000.0,0.535,True,186.0,0.06938,0.6436,287.45,siting - outside the footprint,False,False
17031824503,Cook County,IL,metro,2842,131250,False,ffiec_ratio,301.0,186.0,0.0,186.0,34100000.0,0.0,True,186.0,0.06545,0.61794,301.0,siting - outside the footprint,False,False
17167003603,Sangamon County,IL,metro,2331,175946,False,ffiec_ratio,234.0,186.0,0.0,186.0,51030000.0,0.0,True,186.0,0.07979,0.79487,234.0,siting - outside the footprint,False,False
17201003801,Winnebago County,IL,metro,2448,99375,False,ffiec_ratio,281.0,190.0,5.0,185.0,44140000.0,2.632,False,185.0,0.07557,0.65836,273.6,"conversion - present, under-capturing",False,False
55133204002,Waukesha County,WI,metro,2237,130565,False,ffiec_ratio,282.0,187.0,2.0,185.0,49165000.0,1.07,True,185.0,0.0827,0.65603,278.98,siting - outside the footprint,False,False
