uninumbr,cert,year,deposits
7842,12331,2019,118861000
8245,12331,2019,27932000
437248,12331,2019,10810000
7418,12331,2019,65392000
442955,12331,2019,21969000
7855,12349,2019,43082000
226866,12349,2019,37501000
428183,12349,2019,19743000
587682,12349,2019,5841000
7859,12354,2019,38223000
7860,12355,2019,29718000
226871,12355,2019,3627000
9502,12355,2019,10027000
441046,12355,2019,16726000
7959,12511,2019,78497000
207623,12511,2019,6607000
227281,12511,2019,20121000
10138,12511,2019,29395000
235802,12511,2019,16700000
7960,12512,2019,31059000
227282,12512,2019,9873000
227285,12512,2019,31921000
7961,12513,2019,55229000
9539,12513,2019,73991000
589550,12513,2019,41052000
7962,12514,2019,104725000
227287,12514,2019,56849000
227288,12514,2019,35318000
227289,12514,2019,55467000
358965,12514,2019,29979000
489600,12514,2019,14760000
595724,12514,2019,18195000
7965,12517,2019,306314000
479127,12517,2019,26879000
269381,12517,2019,73694000
440172,12517,2019,45317000
535354,12517,2019,31363000
581982,12517,2019,12416000
581983,12517,2019,2237000
227296,12517,2019,82952000
591431,12517,2019,29208000
227297,12517,2019,84791000
227299,12517,2019,0
227300,12517,2019,86184000
357185,12517,2019,51732000
365854,12517,2019,64743000
437201,12517,2019,40930000
8035,12661,2019,70624000
425206,12661,2019,13842000
8094,12781,2019,64903000
490143,12781,2019,37822000
9553,12781,2019,27689000
340730,12781,2019,13561000
7416,12781,2019,66246000
225243,12781,2019,7888000
364349,12781,2019,31326000
9277,12781,2019,45399000
227872,12781,2019,45410000
360455,12781,2019,33247000
365440,12781,2019,20076000
8101,12788,2019,197853000
227880,12788,2019,0
227881,12788,2019,0
227882,12788,2019,0
227883,12788,2019,32284000
362220,12788,2019,1970000
431406,12788,2019,54798000
431407,12788,2019,37205000
8116,12814,2019,233039000
227908,12814,2019,9239000
227916,12814,2019,17839000
468301,12814,2019,5935000
507805,12814,2019,5273000
8103,12814,2019,36797000
9720,12814,2019,61238000
10326,12814,2019,17578000
8104,12814,2019,29931000
8395,12814,2019,14617000
227909,12814,2019,12141000
229405,12814,2019,12865000
227910,12814,2019,21691000
227911,12814,2019,14151000
227912,12814,2019,24543000
227913,12814,2019,16076000
227915,12814,2019,31214000
569869,12923,2019,76439000
9593,12923,2019,124207000
9278,12923,2019,30553000
4178,12923,2019,55250000
208955,12923,2019,93985000
10060,12923,2019,69499000
235566,12923,2019,48701000
1624,12923,2019,164525000
192691,12923,2019,18360000
277054,12923,2019,92218000
563325,12923,2019,30359000
8229,13023,2019,108521000
468169,13023,2019,57281000
3583,13023,2019,62186000
207554,13023,2019,31481000
40240,13023,2019,40227000
262166,13023,2019,64008000
262168,13023,2019,52996000
262170,13023,2019,51103000
363522,13023,2019,42330000
423112,13023,2019,43615000
444338,13023,2019,34375000
447917,13023,2019,35213000
7834,13023,2019,199853000
228756,13023,2019,35682000
418502,13023,2019,33149000
461744,13023,2019,0
8231,13025,2019,121519000
228759,13025,2019,10320000
228760,13025,2019,18089000
235524,13025,2019,9562000
334306,13025,2019,67689000
450318,13025,2019,47920000
8235,13029,2019,31834000
228782,13029,2019,0
424624,13029,2019,7607000
8236,13030,2019,31357000
359023,13030,2019,27527000
467315,13030,2019,12841000
8238,13032,2019,110639000
9147,13032,2019,14113000
41811,13032,2019,20840000
443996,13032,2019,26218000
465216,13032,2019,6177000
8239,13033,2019,117739000
228790,13033,2019,6533000
358260,13033,2019,26433000
440762,13033,2019,13845000
8246,13046,2019,120422000
362422,13046,2019,28128000
8251,13054,2019,24929000
228814,13054,2019,13195000
468163,13054,2019,6623000
8252,13055,2019,271893000
228815,13055,2019,84058000
363725,13055,2019,6566000
426770,13055,2019,31271000
441899,13055,2019,33795000
507806,13055,2019,0
602925,13055,2019,0
228816,13055,2019,53703000
228817,13055,2019,63891000
228818,13055,2019,17561000
228819,13055,2019,16363000
228820,13055,2019,19014000
228821,13055,2019,0
228822,13055,2019,31712000
228823,13055,2019,39394000
8254,13058,2019,25522000
3613,13058,2019,14036000
776,13058,2019,85703000
535364,13058,2019,30278000
557501,13058,2019,14464000
8375,13240,2019,164389000
229370,13240,2019,153633000
602726,13240,2019,6357000
233303,13240,2019,41906000
7848,13240,2019,36749000
587380,13240,2019,13945000
588474,13240,2019,13214000
8377,13242,2019,80561000
229374,13242,2019,51153000
8390,13264,2019,109052000
229401,13264,2019,28396000
229402,13264,2019,50345000
229403,13264,2019,18272000
334299,13264,2019,0
43656,13264,2019,53215000
546629,13264,2019,34112000
580418,13264,2019,23251000
8470,13454,2019,62402000
6124,13454,2019,13151000
363727,13454,2019,12985000
280302,13454,2019,22061000
280303,13454,2019,15384000
280305,13454,2019,17565000
8396,13454,2019,45956000
41844,13454,2019,12135000
580032,13454,2019,3992000
9495,13454,2019,11914000
233271,13454,2019,18657000
220319,13454,2019,6569000
220320,13454,2019,20754000
273333,13454,2019,18222000
221694,13454,2019,4749000
227291,13454,2019,10181000
6891,13454,2019,21189000
9073,13454,2019,40281000
221696,13454,2019,15733000
8481,13565,2019,243542000
229686,13565,2019,35492000
432879,13565,2019,37993000
572713,13565,2019,38435000
8489,13580,2019,83356000
6121,1399,2019,55859000
8801,14078,2019,230030000
592848,14078,2019,11807000
230916,14078,2019,40257000
8879,14222,2019,152761000
439716,14222,2019,21133000
488144,14222,2019,34721000
774,14222,2019,102500000
3612,14222,2019,68412000
8911,14266,2019,300358000
356850,14266,2019,30757000
356852,14266,2019,28042000
419351,14266,2019,43180000
8943,14316,2019,38306000
334292,14316,2019,9840000
437946,14316,2019,7984000
546610,14382,2019,9365000
614769,14382,2019,1167000
8999,14400,2019,14635000
476059,14400,2019,6104000
9027,14445,2019,142318000
231495,14445,2019,29808000
231496,14445,2019,142318000
366289,14445,2019,9942000
466130,14445,2019,6814000
556652,14445,2019,9271000
9039,14468,2019,98738000
5535,14468,2019,29714000
9097,14560,2019,58477000
442364,14560,2019,11424000
9166,14660,2019,355643000
231892,14660,2019,0
9237,14769,2019,414367000
3605,14816,2019,57850000
207596,14816,2019,19408000
207597,14816,2019,20791000
3578,14816,2019,23414000
207544,14816,2019,19273000
442204,14816,2019,10007000
5781,14816,2019,50112000
10143,14843,2019,55838000
9620,14843,2019,95648000
233568,14843,2019,53675000
4167,14843,2019,41224000
208933,14843,2019,14974000
362789,14843,2019,26731000
419359,14843,2019,35041000
452599,14843,2019,10995000
9334,14907,2019,63838000
9338,14911,2019,85033000
232400,14911,2019,69070000
552023,14911,2019,9202000
552025,14911,2019,13010000
9341,14914,2019,25854000
358655,14914,2019,22636000
543349,14914,2019,16362000
589865,14914,2019,9806000
9371,14960,2019,45171000
232576,14960,2019,25288000
9397,14994,2019,105054000
423268,14994,2019,0
525919,14994,2019,10315000
9360,14994,2019,35201000
9398,14995,2019,40956000
9197,14995,2019,12198000
470113,14995,2019,22992000
513460,14995,2019,14902000
8484,14995,2019,10362000
232714,14995,2019,128748000
232715,14995,2019,34843000
232716,14995,2019,59289000
428172,14995,2019,45972000
8666,14995,2019,39865000
423229,14995,2019,3413000
9435,15046,2019,46837000
233138,15046,2019,16970000
56831,15046,2019,42971000
290427,15046,2019,25321000
489591,15046,2019,28902000
42024,15046,2019,19018000
9468,15091,2019,218197000
233208,15091,2019,104106000
9542,15091,2019,86401000
8391,15091,2019,15639000
233333,15091,2019,53101000
419474,15091,2019,25856000
207538,15091,2019,30769000
233209,15091,2019,0
233210,15091,2019,181961000
362068,15091,2019,49386000
6893,15091,2019,128175000
9506,15091,2019,110416000
430072,15091,2019,17552000
8100,15091,2019,40477000
9469,15092,2019,79870000
9494,15121,2019,156649000
233266,15121,2019,9072000
233267,15121,2019,3888000
233268,15121,2019,2683000
233269,15121,2019,4538000
233270,15121,2019,1876000
9498,15126,2019,90663000
233272,15126,2019,6774000
9499,15126,2019,22213000
233273,15126,2019,5966000
7165,15126,2019,12432000
9508,15136,2019,303178000
233284,15136,2019,122168000
233285,15136,2019,63735000
997,1513,2019,178137000
474313,1513,2019,16437000
510346,1513,2019,16020000
522191,1513,2019,35919000
9516,15146,2019,87405000
432355,15146,2019,17138000
570019,15146,2019,9996000
9522,15152,2019,42186000
233304,15152,2019,26761000
9527,15158,2019,148338000
227294,15158,2019,0
9538,15173,2019,46008000
1001,1517,2019,51798000
189663,1517,2019,31237000
363508,1517,2019,0
467735,1517,2019,21755000
9550,15186,2019,18184000
593134,15186,2019,6348000
9582,15228,2019,88350000
9583,15229,2019,1069856000
80044,15229,2019,247864000
469779,15229,2019,92311000
9594,15242,2019,144499000
233512,15242,2019,11436000
233513,15242,2019,9090000
233515,15242,2019,9501000
233516,15242,2019,0
233517,15242,2019,0
340734,15242,2019,8800000
9616,15271,2019,146241000
233560,15271,2019,0
9175,15271,2019,41617000
233562,15271,2019,21074000
357314,15271,2019,12636000
442335,15271,2019,18841000
1633,15271,2019,20208000
10026,15779,2019,263133000
590055,15779,2019,0
10044,15799,2019,71364000
235299,15799,2019,11592000
8519,15799,2019,23626000
229371,15799,2019,15379000
358289,15799,2019,26248000
276708,15799,2019,16235000
235301,15799,2019,20092000
235303,15799,2019,11895000
361952,15799,2019,48689000
455687,15799,2019,34977000
10370,16160,2019,349987000
237540,16160,2019,0
237541,16160,2019,46603000
237542,16160,2019,44265000
237543,16160,2019,25588000
362472,16160,2019,0
428176,16160,2019,45514000
451600,16160,2019,25036000
237532,16160,2019,55653000
466807,16160,2019,20316000
477839,16160,2019,31922000
501288,16160,2019,29101000
539955,16160,2019,15860000
555745,16160,2019,33493000
237534,16160,2019,0
237535,16160,2019,0
237536,16160,2019,60024000
237537,16160,2019,0
237538,16160,2019,0
15274,16571,2019,135888000
253906,16571,2019,50687000
253907,16571,2019,80521000
364348,16571,2019,84768000
228768,16571,2019,52000
228771,16571,2019,0
228773,16571,2019,0
228774,16571,2019,0
228777,16571,2019,30481000
228779,16571,2019,0
228780,16571,2019,0
361953,16571,2019,0
363273,16571,2019,27925000
365521,16571,2019,0
432667,16571,2019,51449000
16815,16571,2019,93746000
360454,16571,2019,0
9503,16571,2019,36536000
8105,16571,2019,56588000
227887,16571,2019,32106000
45587,16571,2019,35477000
233204,16571,2019,49122000
233277,16571,2019,26954000
42154,16571,2019,40162000
274529,16571,2019,27386000
274530,16571,2019,46210000
425171,16571,2019,9237000
495121,16571,2019,3730605000
187683,16571,2019,60333000
187686,16571,2019,36620000
1634,16571,2019,102299000
15584,16571,2019,137934000
14418,16571,2019,200710000
249072,16571,2019,0
249073,16571,2019,112334000
14297,16571,2019,55836000
1626,16571,2019,310131000
192694,16571,2019,194403000
192696,16571,2019,0
12405,16571,2019,56658000
1616,16571,2019,85367000
187689,16571,2019,179503000
289247,16571,2019,1146000
218851,16571,2019,112334000
218853,16571,2019,19480000
6126,16571,2019,205553000
220321,16571,2019,181879000
13927,16571,2019,135848000
12736,16571,2019,80671000
187691,16571,2019,0
270061,16571,2019,43972000
270062,16571,2019,128228000
270065,16571,2019,96285000
270069,16571,2019,138914000
270074,16571,2019,121365000
41348,16571,2019,106149000
42381,16571,2019,100854000
271595,16571,2019,98884000
271596,16571,2019,97185000
46943,16571,2019,39798000
42721,16571,2019,98794000
277580,16571,2019,36422000
277581,16571,2019,39075000
277587,16571,2019,29280000
277588,16571,2019,28224000
13447,16571,2019,402822000
8095,16571,2019,16329000
227873,16571,2019,70921000
249134,16571,2019,0
356773,16571,2019,39093000
15065,16571,2019,280916000
253429,16571,2019,115360000
9504,16571,2019,86646000
253430,16571,2019,95453000
4184,16571,2019,37486000
15402,16571,2019,93961000
208968,16571,2019,66691000
270080,16571,2019,59958000
187678,16571,2019,66022000
187679,16571,2019,38232000
187680,16571,2019,59255000
3597,16571,2019,174643000
14557,16571,2019,110746000
207578,16571,2019,60833000
47079,16571,2019,133972000
9968,16571,2019,93191000
40259,16571,2019,102759000
253603,16571,2019,89817000
15027,16571,2019,92805000
7841,16571,2019,44049000
8244,16571,2019,19288000
6395,16571,2019,526477000
221680,16571,2019,83387000
221681,16571,2019,53932000
15864,16571,2019,77282000
8393,16571,2019,31982000
9342,16571,2019,45552000
253318,16571,2019,126571000
279111,16571,2019,52575000
9373,16571,2019,95359000
232582,16571,2019,1410000
232583,16571,2019,31131000
13454,16571,2019,69125000
9906,16571,2019,403964000
234683,16571,2019,28213000
12549,16571,2019,89750000
9915,16571,2019,29664000
9496,16571,2019,40045000
9528,16571,2019,30569000
249158,16571,2019,45413000
7847,16571,2019,51278000
9212,16571,2019,60551000
9831,16571,2019,112017000
14525,16571,2019,60241000
231581,16571,2019,29097000
14447,16571,2019,109928000
5545,16571,2019,38188000
9523,16571,2019,100743000
233306,16571,2019,0
9892,16571,2019,29080000
234661,16571,2019,0
8115,16571,2019,665305000
227902,16571,2019,48174000
227903,16571,2019,25903000
7864,16571,2019,33882000
227906,16571,2019,32887000
227907,16571,2019,30932000
6413,16571,2019,80782000
3621,16571,2019,89941000
3591,16571,2019,575030000
13481,16571,2019,62879000
271761,16571,2019,64967000
9541,16571,2019,59812000
9569,16571,2019,36297000
272003,16571,2019,42162000
207567,16571,2019,42827000
8097,16571,2019,49432000
8240,16571,2019,126032000
228793,16571,2019,71759000
227878,16571,2019,60275000
4171,16571,2019,110064000
208937,16571,2019,30478000
208939,16571,2019,50320000
12304,16571,2019,85757000
8503,16571,2019,40296000
13352,16571,2019,87966000
225257,16571,2019,47434000
9545,16571,2019,69054000
12033,16571,2019,63606000
5782,16571,2019,30918000
507049,16571,2019,111948000
3603,16571,2019,62900000
219329,16571,2019,64457000
7967,16571,2019,36200000
227305,16571,2019,29636000
8392,16571,2019,67811000
225245,16571,2019,31006000
7159,16571,2019,91290000
3552,16571,2019,58082000
8243,16571,2019,1599699000
228804,16571,2019,0
12251,16571,2019,385881000
244871,16571,2019,0
15074,16571,2019,83151000
228797,16571,2019,162802000
248938,16571,2019,91682000
9493,16571,2019,247447000
11701,16571,2019,127886000
242666,16571,2019,0
228800,16571,2019,69441000
7171,16571,2019,63058000
13495,16571,2019,81772000
228802,16571,2019,58019000
9452,16571,2019,39118000
8098,16571,2019,0
8106,16571,2019,89163000
233161,16571,2019,47453000
10049,16571,2019,53107000
7840,16571,2019,47721000
357012,16571,2019,42708000
8394,16571,2019,30950000
13601,16571,2019,53399000
16412,16571,2019,41009000
361401,16571,2019,86550000
362066,16571,2019,56878000
363739,16571,2019,71586000
430555,16571,2019,0
430557,16571,2019,0
430560,16571,2019,0
430561,16571,2019,81152000
430790,16571,2019,0
438931,16571,2019,36031000
446124,16571,2019,35012000
449801,16571,2019,51248000
449827,16571,2019,77763000
454553,16571,2019,42324000
466630,16571,2019,63160000
485225,16571,2019,26920000
489691,16571,2019,84820000
510732,16571,2019,0
510733,16571,2019,9118000
513858,16571,2019,82313000
61745,16571,2019,854447000
10939,16840,2019,76772000
11171,17128,2019,89662000
240623,17128,2019,44457000
478958,17128,2019,11991000
11198,17162,2019,181377000
1618,17162,2019,28509000
473044,17162,2019,73422000
227879,17162,2019,15168000
569574,17162,2019,45133000
578433,17162,2019,10389000
192679,17162,2019,5932000
6405,17162,2019,24203000
235804,17162,2019,2352000
235805,17162,2019,2046000
235806,17162,2019,29000
441490,17162,2019,12983000
11237,17208,2019,71447000
241033,17208,2019,20161000
357182,17208,2019,29304000
12273,18361,2019,216974000
245116,18361,2019,40051000
478877,18361,2019,750000
594109,18361,2019,4397000
12457,18569,2019,320277000
245766,18569,2019,44647000
6889,18569,2019,30815000
245768,18569,2019,46171000
361859,18569,2019,33388000
365405,18569,2019,65743000
431922,18569,2019,36699000
437821,18569,2019,45126000
10123,18569,2019,96553000
12769,18922,2019,176733000
246816,18922,2019,54118000
13839,18922,2019,166106000
250340,18922,2019,0
250341,18922,2019,61382000
38726,18922,2019,47218000
14993,18922,2019,54287000
253204,18922,2019,19604000
253205,18922,2019,16481000
253206,18922,2019,16615000
246819,18922,2019,9296000
246817,18922,2019,10702000
246820,18922,2019,21991000
246822,18922,2019,41796000
246824,18922,2019,13025000
246825,18922,2019,14460000
246826,18922,2019,27071000
246829,18922,2019,17736000
246818,18922,2019,16597000
246831,18922,2019,25304000
361467,18922,2019,24285000
454323,18922,2019,5281000
465781,18922,2019,2466000
465782,18922,2019,9796000
32992,18922,2019,58040000
12236,18922,2019,157740000
244784,18922,2019,0
244785,18922,2019,37760000
244786,18922,2019,9268000
244789,18922,2019,22526000
603216,18922,2019,3301000
259306,18922,2019,27023000
259307,18922,2019,8751000
15873,18922,2019,61429000
255184,18922,2019,9248000
13407,19608,2019,68020000
248971,19608,2019,108004000
432366,19608,2019,55316000
432367,19608,2019,35280000
449798,19608,2019,69156000
478309,19608,2019,21306000
557386,19608,2019,26211000
248975,19608,2019,74781000
248976,19608,2019,12899000
248977,19608,2019,56268000
359862,19608,2019,135093000
365400,19608,2019,138518000
13566,19772,2019,74714000
249471,19772,2019,42556000
447432,19772,2019,142941000
249472,19772,2019,88635000
512434,19772,2019,126344000
553951,19772,2019,22472000
439457,19772,2019,106924000
249475,19772,2019,36494000
249476,19772,2019,119657000
360699,19772,2019,57993000
13589,19795,2019,182786000
249551,19795,2019,67760000
361519,19795,2019,0
449816,19795,2019,49531000
254152,19795,2019,18152000
582382,19795,2019,108210000
13970,20296,2019,1011590000
250678,20296,2019,52213000
245430,20296,2019,51044000
16051,20296,2019,32705000
250682,20296,2019,502531000
250683,20296,2019,42375000
250684,20296,2019,60491000
250685,20296,2019,365356000
7410,20296,2019,44796000
14946,20296,2019,115944000
3564,20296,2019,309653000
1623,20296,2019,36955000
207464,20296,2019,36932000
250687,20296,2019,23215000
250688,20296,2019,24123000
361031,20296,2019,12914000
14605,20296,2019,123105000
252281,20296,2019,18815000
357602,20296,2019,15981000
363520,20296,2019,14231000
48165,20296,2019,15932000
366271,20296,2019,18102000
430162,20296,2019,254515000
439998,20296,2019,12730000
449842,20296,2019,6637000
249208,20296,2019,73569000
454226,20296,2019,33149000
454707,20296,2019,26567000
456016,20296,2019,6816000
466676,20296,2019,21963000
467068,20296,2019,12299000
250680,20296,2019,54989000
479850,20296,2019,24623000
501642,20296,2019,398070000
562321,20296,2019,7592000
250681,20296,2019,104574000
12357,20296,2019,48179000
56241,20624,2019,129417000
14572,21085,2019,24608000
9517,21085,2019,14163000
15543,22334,2019,249728000
432012,22334,2019,10513000
589730,22334,2019,42946000
9549,22334,2019,19705000
233339,22334,2019,64699000
233340,22334,2019,9460000
16208,23137,2019,539109000
16484,23537,2019,592314000
1610,2455,2019,122325000
1619,2467,2019,61929000
192680,2467,2019,19898000
207591,2467,2019,16255000
192681,2467,2019,0
1620,2468,2019,229274000
192682,2468,2019,0
192683,2468,2019,40610000
192684,2468,2019,0
192685,2468,2019,51558000
9544,2468,2019,20219000
585361,2468,2019,42368000
1621,2469,2019,49414000
6652,2469,2019,38643000
439688,2469,2019,20245000
465784,2469,2019,6842000
1627,2476,2019,289293000
3593,2476,2019,0
474316,2476,2019,32822000
596308,2476,2019,0
607080,2476,2019,106509000
1628,2477,2019,115308000
441384,2477,2019,15665000
1630,2482,2019,126812000
192699,2482,2019,20699000
192700,2482,2019,30711000
32550,26218,2019,319144000
361452,26218,2019,1385000
488799,26218,2019,272805000
8547,26218,2019,221886000
258549,26218,2019,0
35718,26689,2019,58181000
228811,26689,2019,16799000
228812,26689,2019,24949000
38652,27053,2019,32955000
473858,27053,2019,8572000
464878,27767,2019,4515000
277504,28330,2019,51061000
277514,28330,2019,149632000
277509,28330,2019,65284000
277508,28330,2019,111148000
277502,28330,2019,14775000
288343,28330,2019,60156000
288344,28330,2019,155343000
277503,28330,2019,54999000
41521,28330,2019,68208000
270093,28330,2019,39553000
288348,28330,2019,72136000
360269,28330,2019,29081000
361888,28330,2019,36725000
443452,28330,2019,17109000
448799,28330,2019,47631000
468295,28330,2019,52422000
557525,28330,2019,1548000
570245,28330,2019,0
41234,28400,2019,132404000
267200,28400,2019,80193000
267205,28400,2019,71081000
266492,28400,2019,195910000
498681,28400,2019,45096000
498684,28400,2019,70381000
590020,28400,2019,8303000
610432,28400,2019,0
267201,28400,2019,65115000
267203,28400,2019,56947000
41314,28480,2019,20198000
41347,28513,2019,0
268036,28513,2019,213693000
359020,28513,2019,0
418528,28513,2019,39909000
418915,28513,2019,268445000
428796,28513,2019,79950000
444621,28513,2019,114026000
454794,28513,2019,125444000
461641,28513,2019,76128000
465429,28513,2019,103103000
546111,28513,2019,38630000
572627,28513,2019,44698000
572714,28513,2019,31041000
41364,28530,2019,173073000
8255,28530,2019,41842000
8092,28530,2019,33543000
227867,28530,2019,42311000
462262,28530,2019,0
8540,28530,2019,30510000
556643,28530,2019,42623000
586234,28530,2019,18324000
3616,28530,2019,84181000
207626,28530,2019,26979000
356999,28530,2019,1673000
41448,28614,2019,55273000
42029,28614,2019,54360000
42902,28614,2019,45834000
433184,28614,2019,39560000
465495,28614,2019,18372000
470478,28614,2019,29898000
41513,28679,2019,168280000
269943,28679,2019,52160000
269949,28679,2019,86859000
269950,28679,2019,27448000
269953,28679,2019,39889000
269954,28679,2019,31129000
269956,28679,2019,30764000
269957,28679,2019,30475000
280183,28679,2019,55605000
269960,28679,2019,39065000
280186,28679,2019,23136000
280188,28679,2019,33612000
269961,28679,2019,19231000
269963,28679,2019,44040000
273352,28679,2019,39229000
273353,28679,2019,28701000
43289,28679,2019,59898000
273356,28679,2019,0
273357,28679,2019,26579000
43287,28679,2019,38662000
280453,28679,2019,28050000
433603,28679,2019,23614000
433604,28679,2019,14601000
433605,28679,2019,37176000
495520,28679,2019,24168000
495544,28679,2019,40406000
495546,28679,2019,15006000
495547,28679,2019,46176000
495669,28679,2019,39209000
495673,28679,2019,30281000
446280,28679,2019,25967000
458866,28679,2019,57071000
469588,28679,2019,40810000
518672,28679,2019,18625000
518691,28679,2019,38836000
518692,28679,2019,24907000
522248,28679,2019,22361000
532536,28679,2019,2721000
78854,28679,2019,29175000
440169,28679,2019,12297000
208943,28679,2019,43986000
269944,28679,2019,65627000
269946,28679,2019,50297000
269942,28679,2019,107675000
41624,28790,2019,51929000
41817,28983,2019,44370000
41954,29120,2019,144477000
273034,29120,2019,32041000
580380,29120,2019,38458000
41712,29120,2019,65256000
271212,29120,2019,49158000
357928,29120,2019,41232000
465445,29120,2019,23842000
491977,29120,2019,20142000
42022,29188,2019,180091000
273327,29188,2019,39340000
43257,29188,2019,60348000
42127,29293,2019,115023000
42128,29294,2019,138827000
274320,29294,2019,86815000
274321,29294,2019,120448000
274323,29294,2019,57456000
542836,29294,2019,37601000
581990,29294,2019,1620000
42491,29657,2019,339795000
276660,29657,2019,33049000
276669,29657,2019,31876000
276670,29657,2019,17254000
276661,29657,2019,27483000
276663,29657,2019,34358000
276665,29657,2019,20395000
