tract_geoid,household_growth_z,median_income_z,deposit_growth_z,competitor_saturation_z,unmet_demand_z,opportunity_score,county_name,lmi_flag,growth_is_estimated
17093890402,1.39,1.530667,3.3328,0.364,6.4315,2.6999,Kendall County,False,True
17093890105,0.3115,1.114667,3.3328,0.4885,6.025,2.3654,Kendall County,False,True
17093890404,1.39,0.494,3.3328,1.1475,3.6055,2.136,Kendall County,False,True
17163503404,2.6915,2.025333,1.2988,-0.1835,4.825,2.095,St. Clair County,False,False
17089850707,1.967,1.329333,0.5664,0.2375,6.2575,2.0334,Kane County,False,True
55109120401,1.313,0.818667,2.776,0.9845,3.6055,1.9974,St. Croix County,False,True
17093890702,-0.9255,1.454667,3.3328,1.787,3.5665,1.9371,Kendall County,False,True
17093890602,-0.2385,1.068,3.3328,1.787,2.715,1.8462,Kendall County,False,True
17093890401,1.39,0.572,3.3328,0.521,2.6765,1.8366,Kendall County,False,True
17093890107,0.1015,1.498667,3.3328,-0.115,3.857,1.8267,Kendall County,False,True
55025013202,1.399,0.79,-0.7572,0.8765,7.0895,1.8022,Dane County,False,True
17093890703,-0.9255,0.910667,3.3328,1.787,3.2185,1.7858,Kendall County,False,True
55109120502,1.029,0.425333,2.776,0.8975,3.0635,1.7558,St. Croix County,False,False
55087013300,2.4885,0.564,-0.3744,0.718,5.522,1.7367,Outagamie County,False,False
55063010202,2.33,0.288,2.3608,-0.4015,3.586,1.7363,La Crosse County,False,True
17197880317,1.331,2.506667,0.3032,0.703,4.3795,1.7346,Will County,False,True
17197883510,3.3355,1.789333,0.3032,-0.0475,3.586,1.7191,Will County,False,False
17063000103,1.77,0.634,1.2044,1.3595,3.47,1.7161,Grundy County,False,False
17197880322,2.102,4.062,0.3032,0.4595,2.5215,1.7016,Will County,False,True
55109120906,0.558,2.727333,2.776,1.787,0.6245,1.697,St. Croix County,False,True
55025010702,3.085,0.657333,-0.7572,0.9845,4.8445,1.692,Dane County,False,False
55109121000,0.1615,0.68,2.776,0.9985,3.315,1.6909,St. Croix County,False,False
17143003900,1.618,2.058,0.356,1.787,2.9475,1.6682,Peoria County,False,True
55133200300,2.311,0.588,0.7444,0.096,4.554,1.6665,Waukesha County,False,False
17197880318,1.331,3.126,0.3032,-0.185,4.3795,1.65,Will County,False,True
17197880314,-0.373,2.376667,0.3032,0.774,5.541,1.6208,Will County,False,False
55109120402,1.313,0.754,2.776,1.787,0.9535,1.6178,St. Croix County,False,True
17093890403,1.39,1.149333,3.3328,1.1435,0.5085,1.614,Kendall County,False,True
17089850711,1.967,1.906,0.5664,1.201,2.657,1.5925,Kane County,False,True
17093890501,0.4055,0.048667,3.3328,0.5575,2.7535,1.5839,Kendall County,False,True
17113005401,0.5895,1.379333,1.4872,1.787,2.4635,1.5467,McLean County,False,True
17093890108,0.1015,2.009333,3.3328,0.727,1.1665,1.5335,Kendall County,False,True
55015020308,2.2055,1.006667,1.3008,0.948,2.076,1.5221,Calumet County,False,False
55109120904,0.935,1.103333,2.776,1.787,0.5855,1.521,St. Croix County,False,True
17089851907,1.6335,1.11,0.5664,0.238,4.1475,1.5119,Kane County,False,False
17093890104,0.3115,1.155333,3.3328,0.8295,1.3795,1.5105,Kendall County,False,True
17089850710,1.967,1.6,0.5664,1.787,1.8825,1.509,Kane County,False,True
55015020306,0.993,0.514667,1.3008,1.313,3.199,1.5035,Calumet County,False,False
55133203406,-0.295,1.386667,0.7444,0.5605,5.212,1.4895,Waukesha County,False,False
55133204301,1.279,1.01,0.7444,0.452,4.012,1.4862,Waukesha County,False,False
55109120501,0.8475,-0.192667,2.776,0.8975,2.328,1.4797,St. Croix County,True,False
17093890106,0.1015,0.724,3.3328,0.0285,2.328,1.4334,Kendall County,False,True
55055101600,3.4045,-0.044667,1.9028,0.7995,0.605,1.4309,Jefferson County,False,False
17089850709,1.967,2.246667,0.5664,1.787,0.934,1.4162,Kane County,False,True
55109120602,-0.136,0.129333,2.776,1.787,1.8245,1.4085,St. Croix County,False,True
17031833100,2.8495,2.119333,-0.4464,-0.2815,3.431,1.4062,Cook County,False,False
17089850706,0.3155,0.180667,0.5664,0.551,5.2315,1.3884,Kane County,True,True
17031081800,2.276,1.656,-0.4464,-0.3175,4.2635,1.3813,Cook County,False,False
17197880323,2.102,2.862667,0.3032,0.3,1.9405,1.3738,Will County,False,True
17093890301,0.76,0.744667,3.3328,0.1205,1.263,1.3736,Kendall County,False,False
17095001300,1.5315,-0.286,4.5768,-0.1045,-0.0725,1.3721,Knox County,False,False
55073001203,0.7765,1.266,1.532,1.5145,1.5535,1.3418,Marathon County,False,True
55093960500,1.073,0.424667,0.8252,1.787,2.386,1.3193,Pierce County,False,False
17113005102,0.4665,0.696,1.4872,1.787,1.9405,1.3151,McLean County,False,False
17111871502,0.3255,0.974667,0.1076,0.132,5.2315,1.3109,McHenry County,False,True
55109120901,1.597,0.210667,2.776,0.2375,1.089,1.3103,St. Croix County,False,False
17111870809,1.0525,0.778667,0.1076,1.1325,3.6055,1.3017,McHenry County,False,False
55017010700,0.955,0.070667,2.044,0.6525,2.289,1.301,Chippewa County,False,False
55025010907,1.987,2.106667,-0.7572,1.157,2.6765,1.2908,Dane County,False,True
55017010900,1.759,-0.716667,2.044,1.787,0.876,1.288,Chippewa County,True,False
55025012003,2.333,1.534,-0.7572,0.456,3.431,1.2848,Dane County,False,True
55047100400,0.348,-0.023333,5.012,-0.4945,0.276,1.2754,Green Lake County,False,False
17089851801,2.1895,0.839333,0.5664,0.0755,2.7345,1.2674,Kane County,False,False
