rule,tract_geoid,newly_covered
A_commercial,17031320600,False
A_commercial,17031330101,False
A_commercial,17031330102,False
A_commercial,17031330103,False
A_commercial,17031330200,False
A_commercial,17031340300,False
A_commercial,17031340400,False
A_commercial,17031340500,False
A_commercial,17031340600,False
A_commercial,17031350100,False
A_commercial,17031350400,False
A_commercial,17031351000,False
A_commercial,17031351100,False
A_commercial,17031351400,False
A_commercial,17031351500,False
A_commercial,17031360200,False
A_commercial,17031380100,False
A_commercial,17031380200,False
A_commercial,17031380600,False
A_commercial,17031381200,False
A_commercial,17031381400,False
A_commercial,17031381500,False
A_commercial,17031381700,False
A_commercial,17031381800,False
A_commercial,17031381900,False
A_commercial,17031390100,False
A_commercial,17031390200,False
A_commercial,17031390300,False
A_commercial,17031390400,False
A_commercial,17031390500,False
A_commercial,17031390600,False
A_commercial,17031390700,False
A_commercial,17031400300,False
A_commercial,17031400400,False
A_commercial,17031400500,False
A_commercial,17031400800,False
A_commercial,17031410100,False
A_commercial,17031410200,False
A_commercial,17031410500,False
A_commercial,17031410600,False
A_commercial,17031410700,False
A_commercial,17031410800,False
A_commercial,17031410900,False
A_commercial,17031411000,False
A_commercial,17031411100,False
A_commercial,17031411200,False
A_commercial,17031420100,False
A_commercial,17031420200,False
A_commercial,17031420300,False
A_commercial,17031420400,False
A_commercial,17031420500,False
A_commercial,17031420600,False
A_commercial,17031420700,False
A_commercial,17031420800,False
A_commercial,17031421200,False
A_commercial,17031430101,False
A_commercial,17031430200,False
A_commercial,17031430300,False
A_commercial,17031430400,False
A_commercial,17031430500,False
A_commercial,17031590700,False
A_commercial,17031600400,False
A_commercial,17031600600,False
A_commercial,17031600700,False
A_commercial,17031600900,False
A_commercial,17031610400,False
A_commercial,17031610800,False
A_commercial,17031611200,False
A_commercial,17031611300,False
A_commercial,17031611400,False
A_commercial,17031611700,False
A_commercial,17031611800,False
A_commercial,17031611900,False
A_commercial,17031612000,False
A_commercial,17031612100,False
A_commercial,17031612200,False
A_commercial,17031670100,False
A_commercial,17031670200,False
A_commercial,17031670300,False
A_commercial,17031670800,False
A_commercial,17031670900,False
A_commercial,17031680500,False
A_commercial,17031680600,False
A_commercial,17031680900,False
A_commercial,17031681000,False
A_commercial,17031681200,False
A_commercial,17031690300,False
A_commercial,17031690400,False
A_commercial,17031690500,False
A_commercial,17031690900,False
A_commercial,17031691000,False
A_commercial,17031770201,False
A_commercial,17031770901,False
A_commercial,17031770902,False
A_commercial,17031800300,False
A_commercial,17031800500,False
A_commercial,17031800700,False
A_commercial,17031800800,False
A_commercial,17031800900,False
A_commercial,17031801000,False
A_commercial,17031801400,False
A_commercial,17031801607,False
A_commercial,17031801608,False
A_commercial,17031801800,False
A_commercial,17031801901,False
A_commercial,17031801902,False
A_commercial,17031802002,False
A_commercial,17031802003,False
A_commercial,17031802004,False
A_commercial,17031802100,False
A_commercial,17031802200,False
A_commercial,17031802300,False
A_commercial,17031804305,False
A_commercial,17031804306,False
A_commercial,17031804308,False
A_commercial,17031804309,False
A_commercial,17031804313,False
A_commercial,17031804314,False
A_commercial,17031804315,False
A_commercial,17031804316,False
A_commercial,17031804403,False
A_commercial,17031804404,False
A_commercial,17031804405,False
A_commercial,17031804406,False
A_commercial,17031804505,False
A_commercial,17031804506,False
A_commercial,17031804508,False
A_commercial,17031804509,False
A_commercial,17031804510,False
A_commercial,17031804511,False
A_commercial,17031804512,False
A_commercial,17031804513,False
A_commercial,17031804514,False
A_commercial,17031804606,False
A_commercial,17031804607,False
A_commercial,17031804610,False
A_commercial,17031804611,False
A_commercial,17031804803,False
A_commercial,17031804804,False
A_commercial,17031804805,False
A_commercial,17031804806,False
A_commercial,17031804807,False
A_commercial,17031804808,False
A_commercial,17031804809,False
A_commercial,17031804810,False
A_commercial,17031805201,False
A_commercial,17031805202,False
A_commercial,17031805301,False
A_commercial,17031805302,False
A_commercial,17031805401,False
A_commercial,17031805402,False
A_commercial,17031806001,False
A_commercial,17031806004,False
A_commercial,17031806006,False
A_commercial,17031806700,False
A_commercial,17031806801,False
A_commercial,17031806900,False
A_commercial,17031807000,False
A_commercial,17031807100,False
A_commercial,17031807200,False
A_commercial,17031807400,False
A_commercial,17031807500,False
A_commercial,17031807600,False
A_commercial,17031807700,False
A_commercial,17031807800,False
A_commercial,17031807900,False
A_commercial,17031808001,False
A_commercial,17031808002,False
A_commercial,17031808100,False
A_commercial,17031808301,False
A_commercial,17031808400,False
A_commercial,17031808500,False
A_commercial,17031808600,False
A_commercial,17031808702,False
A_commercial,17031808800,False
A_commercial,17031809100,False
A_commercial,17031809200,False
A_commercial,17031809300,False
A_commercial,17031809401,False
A_commercial,17031809402,False
A_commercial,17031809500,False
A_commercial,17031809600,False
A_commercial,17031809700,False
A_commercial,17031809800,False
A_commercial,17031809900,False
A_commercial,17031810000,False
A_commercial,17031810100,False
A_commercial,17031810200,False
A_commercial,17031810301,False
A_commercial,17031810302,False
A_commercial,17031810400,False
A_commercial,17031810501,False
A_commercial,17031810502,False
A_commercial,17031810600,False
A_commercial,17031830600,False
A_commercial,17031831000,False
A_commercial,17031831100,False
A_commercial,17031831700,False
A_commercial,17031831800,False
A_commercial,17031832200,False
A_commercial,17031832300,False
A_commercial,17031832500,False
A_commercial,17031832600,False
A_commercial,17031832900,False
A_commercial,17031833000,False
A_commercial,17031833100,False
A_commercial,17031833300,False
A_commercial,17031834400,False
A_commercial,17031834500,False
A_commercial,17031834600,False
A_commercial,17031834700,False
A_commercial,17031834800,False
A_commercial,17031835500,False
A_commercial,17031835600,False
A_commercial,17031835800,False
A_commercial,17031836000,False
A_commercial,17031836100,False
A_commercial,17031836200,False
A_commercial,17031836300,False
A_commercial,17031836400,False
A_commercial,17031836500,False
A_commercial,17031836700,False
A_commercial,17031836900,False
A_commercial,17031837000,False
A_commercial,17031837100,False
A_commercial,17031837300,False
A_commercial,17031837400,False
A_commercial,17031837800,False
A_commercial,17031838000,False
A_commercial,17031838100,False
A_commercial,17031838200,False
A_commercial,17031838300,False
A_commercial,17031838600,False
A_commercial,17031839000,False
A_commercial,17031839100,False
A_commercial,17031839200,False
A_commercial,17031839500,False
A_commercial,17031839600,False
A_commercial,17031839700,False
A_commercial,17031839800,False
A_commercial,17031839900,False
A_commercial,17031840000,False
A_commercial,17031840100,False
A_commercial,17031840200,False
A_commercial,17031840700,False
A_commercial,17031841000,False
A_commercial,17031841100,False
A_commercial,17031841200,False
A_commercial,17031841300,False
A_commercial,17031841800,False
A_commercial,17031841900,False
A_commercial,17031842000,False
A_commercial,17031842200,False
A_commercial,17031842300,False
A_commercial,17031842500,False
A_commercial,17031842600,False
A_commercial,17031842900,False
A_commercial,17031843100,False
A_commercial,17031843200,False
A_commercial,17031843300,False
A_commercial,17031843600,False
A_commercial,17031843800,False
A_commercial,17031843900,False
A_commercial,17031844600,False
A_commercial,17043840201,False
A_commercial,17043840901,False
A_commercial,17043840907,False
A_commercial,17043841002,False
A_commercial,17043841003,False
A_commercial,17043841004,False
A_commercial,17043841102,False
A_commercial,17043841103,False
A_commercial,17043841104,False
A_commercial,17043841108,False
A_commercial,17043841109,False
A_commercial,17043841110,False
A_commercial,17043841111,False
A_commercial,17043841112,False
A_commercial,17043841113,False
A_commercial,17043841114,False
A_commercial,17043841308,False
A_commercial,17043841314,False
A_commercial,17043841315,False
A_commercial,17043841316,False
A_commercial,17043841318,False
A_commercial,17043841320,False
A_commercial,17043841321,False
A_commercial,17043841323,False
A_commercial,17043841327,False
A_commercial,17089850103,False
A_commercial,17089850105,False
A_commercial,17089850106,False
A_commercial,17089850301,False
A_commercial,17089850302,False
A_commercial,17089850500,False
A_commercial,17089850600,False
A_commercial,17089850707,False
A_commercial,17089850708,False
A_commercial,17089850800,False
A_commercial,17089851000,False
A_commercial,17089851101,False
A_commercial,17089851102,False
A_commercial,17089851301,False
A_commercial,17089851302,False
A_commercial,17089851400,False
A_commercial,17089851500,False
A_commercial,17089851600,False
A_commercial,17089851801,False
A_commercial,17089851904,False
A_commercial,17089851907,False
A_commercial,17089851908,False
A_commercial,17089851909,False
A_commercial,17089851910,False
A_commercial,17089851911,False
A_commercial,17089851912,False
A_commercial,17089851913,False
A_commercial,17089852001,False
A_commercial,17089852103,False
A_commercial,17089852104,False
A_commercial,17089852905,False
A_commercial,17089853001,False
A_commercial,17089853004,False
A_commercial,17089853005,False
A_commercial,17089853006,False
A_commercial,17089853007,False
A_commercial,17089853008,False
A_commercial,17089853100,False
A_commercial,17089853200,False
A_commercial,17089853300,False
A_commercial,17089853402,False
A_commercial,17089853601,False
A_commercial,17089853900,False
A_commercial,17089854001,False
A_commercial,17089854002,False
A_commercial,17089854100,False
A_commercial,17089854200,False
A_commercial,17089854301,False
A_commercial,17089854508,False
A_commercial,17089854600,False
A_commercial,17089854700,False
A_commercial,17089854900,False
A_commercial,17093890103,True
A_commercial,17093890104,True
A_commercial,17093890105,True
A_commercial,17093890106,True
A_commercial,17093890107,True
A_commercial,17093890108,True
A_commercial,17093890302,True
A_commercial,17093890401,True
A_commercial,17093890402,True
A_commercial,17093890403,True
A_commercial,17093890404,True
A_commercial,17097860301,False
A_commercial,17097860302,False
A_commercial,17097860400,False
A_commercial,17097860500,False
A_commercial,17097860600,False
A_commercial,17097861504,False
A_commercial,17097861505,False
A_commercial,17097861506,False
A_commercial,17097861507,False
A_commercial,17097861508,False
A_commercial,17097861509,False
A_commercial,17097861510,False
A_commercial,17097861603,False
A_commercial,17097861701,False
A_commercial,17097861702,False
A_commercial,17097861803,False
A_commercial,17097861804,False
A_commercial,17097861901,False
A_commercial,17097861902,False
A_commercial,17097862000,False
A_commercial,17097862100,False
A_commercial,17097862200,False
A_commercial,17097862401,False
A_commercial,17097862501,False
A_commercial,17097862603,False
A_commercial,17097862604,False
A_commercial,17097862605,False
A_commercial,17097863604,False
A_commercial,17097863801,False
A_commercial,17097863902,False
A_commercial,17097863903,False
A_commercial,17097863904,False
