tract_geoid,county_name,tier,households,lmi_flag,lmi_basis,is_in_catchment,lenders_originating,all_applications,all_originations,all_origination_amt,subject_originations,subject_origination_amt,capture_rate_pct,competitor_originations,competitor_origination_amt
17197880424,Will County,metro,1309,False,ffiec_ratio,False,58,399.0,252.0,84830000.0,0.0,0.0,0.0,252.0,84830000.0
55117010700,Sheboygan County,metro,3701,False,ffiec_ratio,True,62,342.0,258.0,123300000.0,7.0,675000.0,2.713,251.0,122625000.0
55025011404,Dane County,metro,3006,False,ffiec_ratio,True,57,345.0,254.0,67710000.0,3.0,785000.0,1.181,251.0,66925000.0
55025011600,Dane County,metro,3136,False,ffiec_ratio,False,56,369.0,258.0,56450000.0,7.0,645000.0,2.713,251.0,55805000.0
55109121000,St. Croix County,metro,2968,False,ffiec_ratio,False,76,396.0,265.0,70875000.0,14.0,3160000.0,5.283,251.0,67715000.0
17119403121,Madison County,metro,3971,False,ffiec_ratio,True,75,362.0,250.0,56860000.0,2.0,330000.0,0.8,248.0,56530000.0
17093890703,Kendall County,metro,2766,False,ffiec_ratio,False,80,401.0,246.0,61980000.0,0.0,0.0,0.0,246.0,61980000.0
55015020306,Calumet County,metro,2834,False,ffiec_ratio,False,72,348.0,260.0,63500000.0,15.0,2935000.0,5.769,245.0,60565000.0
55025013700,Dane County,metro,3739,False,ffiec_ratio,False,51,304.0,243.0,76695000.0,1.0,25000.0,0.412,242.0,76670000.0
55025012300,Dane County,metro,2133,False,ffiec_ratio,True,53,311.0,241.0,56535000.0,3.0,4355000.0,1.245,238.0,52180000.0
55109120502,St. Croix County,metro,2705,False,ffiec_ratio,False,68,343.0,240.0,59710000.0,2.0,460000.0,0.833,238.0,59250000.0
17119403531,Madison County,metro,3134,False,ffiec_ratio,False,71,344.0,237.0,52185000.0,0.0,0.0,0.0,237.0,52185000.0
55133200400,Waukesha County,metro,2571,False,ffiec_ratio,True,71,349.0,243.0,74675000.0,7.0,1165000.0,2.881,236.0,73510000.0
55131460101,Washington County,metro,2249,False,ffiec_ratio,False,76,336.0,240.0,77160000.0,4.0,950000.0,1.667,236.0,76210000.0
55025011507,Dane County,metro,2241,False,ffiec_ratio,True,52,309.0,237.0,71055000.0,2.0,670000.0,0.844,235.0,70385000.0
55025011506,Dane County,metro,3396,True,ffiec_ratio,True,57,327.0,238.0,77260000.0,3.0,545000.0,1.261,235.0,76715000.0
55133201900,Waukesha County,metro,2374,False,ffiec_ratio,True,67,325.0,240.0,76540000.0,6.0,880000.0,2.5,234.0,75660000.0
55087012800,Outagamie County,metro,3100,False,ffiec_ratio,True,63,338.0,241.0,54755000.0,9.0,3035000.0,3.734,232.0,51720000.0
17143003900,Peoria County,metro,3208,False,ffiec_ratio,False,50,331.0,232.0,66010000.0,0.0,0.0,0.0,232.0,66010000.0
55025011202,Dane County,metro,2465,False,ffiec_ratio,True,51,312.0,235.0,110095000.0,7.0,18515000.0,2.979,228.0,91580000.0
17111871107,McHenry County,metro,1777,False,ffiec_ratio,False,75,359.0,229.0,78445000.0,1.0,55000.0,0.437,228.0,78390000.0
17097864110,Lake County,metro,3101,True,ffiec_ratio,False,64,401.0,228.0,76910000.0,0.0,0.0,0.0,228.0,76910000.0
55035000302,Eau Claire County,metro,3871,False,ffiec_ratio,False,55,315.0,234.0,123390000.0,6.0,520000.0,2.564,228.0,122870000.0
55105002902,Rock County,metro,2288,False,ffiec_ratio,False,52,305.0,232.0,42730000.0,4.0,720000.0,1.724,228.0,42010000.0
17031330102,Cook County,metro,6904,False,ffiec_ratio,True,79,363.0,227.0,77345000.0,0.0,0.0,0.0,227.0,77345000.0
17089854504,Kane County,metro,3126,False,ffiec_ratio,False,79,320.0,229.0,62345000.0,2.0,200000.0,0.873,227.0,62145000.0
55009020702,Brown County,metro,2635,False,ffiec_ratio,False,64,326.0,252.0,93600000.0,25.0,10505000.0,9.921,227.0,83095000.0
55025010503,Dane County,metro,2027,False,ffiec_ratio,False,49,283.0,229.0,59145000.0,3.0,435000.0,1.31,226.0,58710000.0
55101001601,Racine County,metro,2556,False,ffiec_ratio,False,69,355.0,227.0,51765000.0,1.0,285000.0,0.441,226.0,51480000.0
55025012400,Dane County,metro,1859,False,ffiec_ratio,False,43,303.0,226.0,64140000.0,2.0,400000.0,0.885,224.0,63740000.0
17197881113,Will County,metro,1906,False,ffiec_ratio,False,72,299.0,224.0,66320000.0,0.0,0.0,0.0,224.0,66320000.0
55133204100,Waukesha County,metro,2274,False,ffiec_ratio,True,69,314.0,234.0,93500000.0,11.0,2695000.0,4.701,223.0,90805000.0
17097861009,Lake County,metro,1948,False,ffiec_ratio,False,60,341.0,223.0,57665000.0,0.0,0.0,0.0,223.0,57665000.0
17089852808,Kane County,metro,2572,False,ffiec_ratio,False,89,311.0,223.0,65235000.0,0.0,0.0,0.0,223.0,65235000.0
55087011600,Outagamie County,metro,3294,False,ffiec_ratio,True,56,291.0,226.0,46360000.0,4.0,960000.0,1.77,222.0,45400000.0
17111870702,McHenry County,metro,3171,False,ffiec_ratio,False,70,354.0,222.0,59660000.0,0.0,0.0,0.0,222.0,59660000.0
17093890501,Kendall County,metro,3358,False,ffiec_ratio,False,75,379.0,222.0,45270000.0,0.0,0.0,0.0,222.0,45270000.0
17089851801,Kane County,metro,3263,False,ffiec_ratio,True,83,386.0,223.0,52745000.0,2.0,200000.0,0.897,221.0,52545000.0
17093890602,Kendall County,metro,2055,False,ffiec_ratio,False,79,340.0,221.0,70175000.0,1.0,305000.0,0.452,220.0,69870000.0
55025010701,Dane County,metro,2967,False,ffiec_ratio,True,40,291.0,225.0,64175000.0,6.0,5410000.0,2.667,219.0,58765000.0
55021970600,Columbia County,metro,2012,False,ffiec_ratio,True,54,319.0,228.0,40330000.0,9.0,815000.0,3.947,219.0,39515000.0
17119403002,Madison County,metro,2794,False,ffiec_ratio,False,71,332.0,220.0,47390000.0,1.0,205000.0,0.455,219.0,47185000.0
55045960100,Green County,metro,2690,False,ffiec_ratio,False,49,305.0,222.0,47150000.0,3.0,585000.0,1.351,219.0,46565000.0
17093890401,Kendall County,metro,2630,False,ffiec_ratio,False,74,317.0,218.0,50420000.0,0.0,0.0,0.0,218.0,50420000.0
55025010907,Dane County,metro,2262,False,ffiec_ratio,False,60,294.0,223.0,122335000.0,5.0,1905000.0,2.242,218.0,120430000.0
55087012700,Outagamie County,metro,2630,False,ffiec_ratio,True,51,308.0,229.0,47445000.0,12.0,900000.0,5.24,217.0,46545000.0
17089850711,Kane County,metro,1594,False,ffiec_ratio,False,72,389.0,218.0,80410000.0,1.0,105000.0,0.459,217.0,80305000.0
55009020203,Brown County,metro,2525,False,ffiec_ratio,True,62,304.0,228.0,58000000.0,12.0,2350000.0,5.263,216.0,55650000.0
17031824006,Cook County,metro,2048,False,ffiec_ratio,False,71,361.0,216.0,96280000.0,1.0,1455000.0,0.463,215.0,94825000.0
17031804202,Cook County,metro,2774,False,ffiec_ratio,False,81,354.0,215.0,101425000.0,0.0,0.0,0.0,215.0,101425000.0
55105003001,Rock County,metro,2149,False,ffiec_ratio,False,58,323.0,219.0,44325000.0,5.0,975000.0,2.283,214.0,43350000.0
17097864109,Lake County,metro,1980,False,ffiec_ratio,False,75,346.0,214.0,78150000.0,0.0,0.0,0.0,214.0,78150000.0
55079150301,Milwaukee County,metro,2386,False,ffiec_ratio,True,63,331.0,221.0,59155000.0,8.0,2320000.0,3.62,213.0,56835000.0
17197881009,Will County,metro,2678,False,ffiec_ratio,False,86,360.0,213.0,85735000.0,0.0,0.0,0.0,213.0,85735000.0
55101002600,Racine County,metro,2573,False,ffiec_ratio,True,68,314.0,217.0,52265000.0,5.0,1455000.0,2.304,212.0,50810000.0
55055100500,Jefferson County,micro,2924,False,ffiec_ratio,True,54,311.0,213.0,49675000.0,1.0,75000.0,0.469,212.0,49600000.0
55025012202,Dane County,metro,2563,False,ffiec_ratio,True,48,289.0,217.0,49225000.0,5.0,465000.0,2.304,212.0,48760000.0
55105001400,Rock County,metro,2283,False,ffiec_ratio,False,61,385.0,214.0,33920000.0,3.0,215000.0,1.402,211.0,33705000.0
55045960200,Green County,metro,2298,False,ffiec_ratio,False,47,286.0,214.0,55250000.0,3.0,1245000.0,1.402,211.0,54005000.0
55009020703,Brown County,metro,3161,False,ffiec_ratio,True,50,291.0,233.0,53015000.0,23.0,5185000.0,9.871,210.0,47830000.0
55087012000,Outagamie County,metro,2756,False,ffiec_ratio,True,57,258.0,214.0,41740000.0,4.0,170000.0,1.869,210.0,41570000.0
17197880322,Will County,metro,2110,False,ffiec_ratio,False,69,356.0,211.0,105485000.0,1.0,165000.0,0.474,210.0,105320000.0
55009021400,Brown County,metro,3336,False,ffiec_ratio,False,54,293.0,224.0,54500000.0,14.0,4420000.0,6.25,210.0,50080000.0
17031820101,Cook County,metro,3219,False,ffiec_ratio,False,87,345.0,210.0,109630000.0,0.0,0.0,0.0,210.0,109630000.0
55009002001,Brown County,metro,3655,False,ffiec_ratio,True,60,309.0,224.0,45890000.0,15.0,3415000.0,6.696,209.0,42475000.0
