tract_geoid,county_name,cbsa_title,tier,households,lmi_flag,household_growth,median_income,deposit_market_growth,competitor_saturation,unmet_mortgage_demand,contrib_household_growth,contrib_median_income,contrib_deposit_market_growth,contrib_competitor_saturation,contrib_unmet_mortgage_demand,components_present,opportunity_score,growth_is_estimated,tract_partly_unmeasured,lmi_undetermined,county_growth_heavily_adjusted,retail_basis_status
17197880323,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,2815,False,5.716,192865,4.616,6.351,180.0,0.4204,0.4294,0.0758,0.06,0.3881,5,1.3738,True,False,False,False,measured
17093890301,Kendall County,"Chicago-Naperville-Elgin, IL-IN",metro,2342,False,2.507,112984,10.204,7.117,145.0,0.152,0.1117,0.8332,0.0241,0.2526,5,1.3736,False,False,False,False,measured
17095001300,Knox County,"Galesburg, IL",micro,1672,False,4.351,74118,12.498,8.079,76.0,0.3063,-0.0429,1.1442,-0.0209,-0.0145,5,1.3721,False,False,False,False,measured
55073001203,Marathon County,"Wausau, WI",metro,2011,False,2.546,132654,6.882,1.165,160.0,0.1553,0.1899,0.383,0.3029,0.3107,5,1.3418,True,False,False,False,measured
55093960500,Pierce County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,3582,False,3.256,100924,5.579,0.0,203.0,0.2146,0.0637,0.2063,0.3574,0.4772,5,1.3193,False,False,False,False,measured
17113005102,McLean County,"Bloomington, IL",metro,2838,False,1.805,111163,6.799,0.0,180.0,0.0933,0.1044,0.3718,0.3574,0.3881,5,1.3151,False,False,False,True,measured
17111871502,McHenry County,"Chicago-Naperville-Elgin, IL-IN",metro,2829,False,1.468,121671,4.254,7.07,350.0,0.0651,0.1462,0.0269,0.0264,1.0463,5,1.3109,True,False,False,False,measured
55109120901,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,2232,False,4.509,92854,9.176,6.617,136.0,0.3194,0.0316,0.694,0.0475,0.2178,5,1.3103,False,False,False,False,measured
17111870809,McHenry County,"Chicago-Naperville-Elgin, IL-IN",metro,2843,False,3.206,114258,4.254,2.795,266.0,0.2105,0.1168,0.0269,0.2265,0.7211,5,1.3017,False,False,False,False,measured
55017010700,Chippewa County,"Eau Claire, WI",metro,3753,False,2.973,87572,7.827,4.846,198.0,0.191,0.0106,0.511,0.1305,0.4578,5,1.301,False,False,False,False,measured
55025010907,Dane County,"Madison, WI",metro,2262,False,5.441,164357,2.659,2.691,218.0,0.3974,0.316,-0.1893,0.2314,0.5353,5,1.2908,True,False,False,False,measured
55017010900,Chippewa County,"Eau Claire, WI",metro,2371,True,4.896,57880,7.827,0.0,125.0,0.3518,-0.1075,0.511,0.3574,0.1752,5,1.288,False,False,False,False,measured
55025012003,Dane County,"Madison, WI",metro,2896,False,6.268,142762,2.659,5.685,257.0,0.4666,0.2301,-0.1893,0.0912,0.6862,5,1.2848,True,False,False,False,measured
55047100400,Green Lake County,,rural,1336,False,1.522,84028,13.301,9.745,94.0,0.0696,-0.0035,1.253,-0.0989,0.0552,5,1.2754,False,False,False,False,measured
17089851801,Kane County,"Chicago-Naperville-Elgin, IL-IN",metro,3263,False,5.925,116563,5.101,7.31,221.0,0.4379,0.1259,0.1416,0.0151,0.5469,5,1.2674,False,False,False,False,measured
55021970900,Columbia County,"Madison, WI",metro,2079,False,0.452,122165,6.307,0.0,202.0,-0.0199,0.1482,0.3051,0.3574,0.4733,5,1.2641,False,False,False,False,measured
17031838300,Cook County,"Chicago-Naperville-Elgin, IL-IN",metro,1840,False,18.848,114020,3.233,8.928,25.0,1.5189,0.1158,-0.1116,-0.0607,-0.2119,5,1.2505,False,True,False,True,measured
17097860906,Lake County,"Chicago-Naperville-Elgin, IL-IN",metro,3864,False,3.398,138844,2.585,4.353,300.0,0.2265,0.2146,-0.1993,0.1536,0.8527,5,1.248,False,False,False,True,measured
17197881009,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,2678,False,3.526,141618,4.616,3.691,213.0,0.2372,0.2256,0.0758,0.1846,0.5159,5,1.2391,False,False,False,False,measured
55055101702,Jefferson County,"Watertown-Fort Atkinson, WI",micro,2258,False,4.534,90227,7.566,6.733,176.0,0.3215,0.0212,0.4757,0.0421,0.3727,5,1.2332,False,False,False,False,measured
17197880320,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,1004,False,1.311,156117,4.616,5.421,263.0,0.052,0.2833,0.0758,0.1036,0.7095,5,1.2241,True,False,False,False,measured
55133201900,Waukesha County,"Milwaukee-Waukesha, WI",metro,2374,False,2.988,129238,5.429,6.099,234.0,0.1923,0.1763,0.1861,0.0718,0.5972,5,1.2237,False,False,False,False,measured
55017010400,Chippewa County,"Eau Claire, WI",metro,2096,False,1.527,100486,7.827,0.0,137.0,0.07,0.062,0.511,0.3574,0.2217,5,1.2221,False,False,False,False,measured
55047100200,Green Lake County,,rural,1380,False,1.453,65804,13.301,8.644,87.0,0.0638,-0.076,1.253,-0.0474,0.0281,5,1.2215,False,False,False,False,measured
55025013700,Dane County,"Madison, WI",metro,3739,False,7.759,107580,2.659,5.515,242.0,0.5913,0.0902,-0.1893,0.0992,0.6282,5,1.2195,False,False,False,False,measured
55109120601,St. Croix County,"Minneapolis-St. Paul-Bloomington, MN-WI",metro,966,False,0.365,127500,9.176,0.0,86.0,-0.0272,0.1694,0.694,0.3574,0.0242,5,1.2179,True,False,False,False,measured
17197880424,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,1309,False,2.098,173880,4.616,7.843,252.0,0.1178,0.3539,0.0758,-0.0099,0.6669,5,1.2045,True,False,False,False,measured
55031030200,Douglas County,"Duluth, MN-WI",metro,2051,False,-0.735,96146,8.741,0.0,150.0,-0.1192,0.0447,0.635,0.3574,0.272,5,1.1899,False,False,False,False,measured
17197881113,Will County,"Chicago-Naperville-Elgin, IL-IN",metro,1906,False,5.289,149318,4.616,9.463,224.0,0.3847,0.2562,0.0758,-0.0857,0.5585,5,1.1895,False,False,False,False,measured
55047100600,Green Lake County,,rural,1547,False,1.207,72011,13.301,10.987,104.0,0.0432,-0.0513,1.253,-0.1571,0.0939,5,1.1817,False,False,False,False,measured
17167003100,Sangamon County,"Springfield, IL",metro,3347,False,2.155,117950,7.206,7.586,203.0,0.1226,0.1314,0.4269,0.0021,0.4772,5,1.1603,False,False,False,False,measured
55055100500,Jefferson County,"Watertown-Fort Atkinson, WI",micro,2924,False,1.889,91414,7.566,6.699,212.0,0.1003,0.0259,0.4757,0.0437,0.512,5,1.1576,False,False,False,False,measured
55063010101,La Crosse County,"La Crosse-Onalaska, WI-MN",metro,2041,False,-1.056,83506,8.411,0.0,173.0,-0.1461,-0.0056,0.5902,0.3574,0.361,5,1.1571,False,False,False,False,measured
