OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790131618287|17005951300|Census Tract 9513|15766399|0|G5020|S|20740131618274|17005951200|Census Tract 9512|250833249|3271860|G5020|S|181190|0
20790131618287|17005951300|Census Tract 9513|15766399|0|G5020|S|20740131618287|17005951300|Census Tract 9513|15923376|0|G5020|S|15527868|0
20790131618287|17005951300|Census Tract 9513|15766399|0|G5020|S|20740131618240|17005951400|Census Tract 9514|327207706|192395|G5020|S|52725|0
20790131618287|17005951300|Census Tract 9513|15766399|0|G5020|S|20740131618257|17005951500|Census Tract 9515|391100765|2998249|G5020|S|4616|0
20790131618240|17005951400|Census Tract 9514|327226428|192395|G5020|S|20740131618274|17005951200|Census Tract 9512|250833249|3271860|G5020|S|453|0
20790131618240|17005951400|Census Tract 9514|327226428|192395|G5020|S|20740131618287|17005951300|Census Tract 9513|15923376|0|G5020|S|70994|0
20790131618240|17005951400|Census Tract 9514|327226428|192395|G5020|S|20740131618240|17005951400|Census Tract 9514|327207706|192395|G5020|S|327154981|192395
20790131618257|17005951500|Census Tract 9515|391063924|2998374|G5020|S|20740131618287|17005951300|Census Tract 9513|15923376|0|G5020|S|127076|0
20790131618257|17005951500|Census Tract 9515|391063924|2998374|G5020|S|20740131618257|17005951500|Census Tract 9515|391100765|2998249|G5020|S|390936848|2998249
20790131618257|17005951500|Census Tract 9515|391063924|2998374|G5020|S|207403710705296|17027900402|Census Tract 9004.02|160161087|72462229|G5020|S|0|125
2079015503527483|17007010101|Census Tract 101.01|4902120|66157|G5020|S|20740605976807|17007010100|Census Tract 101|8939396|461496|G5020|S|4879178|64214
2079015503527483|17007010101|Census Tract 101.01|4902120|66157|G5020|S|20740605976821|17007010200|Census Tract 102|5266384|88794|G5020|S|0|1943
2079015503527483|17007010101|Census Tract 101.01|4902120|66157|G5020|S|20740605976783|17007010500|Census Tract 105|138543793|793417|G5020|S|22942|0
2079015503527476|17007010102|Census Tract 101.02|4006592|396802|G5020|S|20740605976807|17007010100|Census Tract 101|8939396|461496|G5020|S|4006592|396802
20790605976821|17007010200|Census Tract 102|5280019|87331|G5020|S|20740605976807|17007010100|Census Tract 101|8939396|461496|G5020|S|0|480
20790605976821|17007010200|Census Tract 102|5280019|87331|G5020|S|20740605976821|17007010200|Census Tract 102|5266384|88794|G5020|S|5266384|86851
20790605976821|17007010200|Census Tract 102|5280019|87331|G5020|S|20740605976836|17007010300|Census Tract 103|3938500|864|G5020|S|13635|0
20790605976836|17007010300|Census Tract 103|3910836|864|G5020|S|20740605976836|17007010300|Census Tract 103|3938500|864|G5020|S|3910836|864
20790605976794|17007010400|Census Tract 104|216840947|751268|G5020|S|20740605976836|17007010300|Census Tract 103|3938500|864|G5020|S|14029|0
20790605976794|17007010400|Census Tract 104|216840947|751268|G5020|S|20740605976794|17007010400|Census Tract 104|216837233|762435|G5020|S|216826242|735961
20790605976794|17007010400|Census Tract 104|216840947|751268|G5020|S|20740605976783|17007010500|Census Tract 105|138543793|793417|G5020|S|676|15307
2079015503527485|17007010501|Census Tract 105.01|24701428|86176|G5020|S|20740605976783|17007010500|Census Tract 105|138543793|793417|G5020|S|24696944|86176
2079015503527485|17007010501|Census Tract 105.01|24701428|86176|G5020|S|20740675329844|17201000512|Census Tract 5.12|17077596|0|G5020|S|82|0
2079015503527485|17007010501|Census Tract 105.01|24701428|86176|G5020|S|20740675330734|17201003807|Census Tract 38.07|30700912|754701|G5020|S|4402|0
2079015503527471|17007010502|Census Tract 105.02|113882844|718408|G5020|S|20740605976807|17007010100|Census Tract 101|8939396|461496|G5020|S|53626|0
2079015503527471|17007010502|Census Tract 105.02|113882844|718408|G5020|S|20740605976794|17007010400|Census Tract 104|216837233|762435|G5020|S|5987|26474
2079015503527471|17007010502|Census Tract 105.02|113882844|718408|G5020|S|20740605976783|17007010500|Census Tract 105|138543793|793417|G5020|S|113823231|691934
207903716678491|17007010601|Census Tract 106.01|266087399|401098|G5020|S|207403716678491|17007010601|Census Tract 106.01|265683843|401098|G5020|S|265677760|401098
207903716678491|17007010601|Census Tract 106.01|266087399|401098|G5020|S|207403716678449|17007010602|Census Tract 106.02|87902884|852522|G5020|S|406534|0
207903716678491|17007010601|Census Tract 106.01|266087399|401098|G5020|S|207403716850404|17111870301|Census Tract 8703.01|72410389|0|G5020|S|141|0
207903716678491|17007010601|Census Tract 106.01|266087399|401098|G5020|S|20740239529840|55105003300|Census Tract 33|117204415|442161|G5020|S|2964|0
2079015503527465|17007010603|Census Tract 106.03|80746764|100258|G5020|S|207403716678491|17007010601|Census Tract 106.01|265683843|401098|G5020|S|6083|0
2079015503527465|17007010603|Census Tract 106.03|80746764|100258|G5020|S|207403716678449|17007010602|Census Tract 106.02|87902884|852522|G5020|S|80740681|100258
2079015503527487|17007010604|Census Tract 106.04|6755669|752264|G5020|S|207403716678449|17007010602|Census Tract 106.02|87902884|852522|G5020|S|6755669|752264
20790132130412|17009970400|Census Tract 9704|775758165|4112626|G5020|S|20740378981351|17001010300|Census Tract 103|771875760|1323007|G5020|S|496|0
20790132130412|17009970400|Census Tract 9704|775758165|4112626|G5020|S|20740132130412|17009970400|Census Tract 9704|775740348|4112626|G5020|S|775692317|4112626
20790132130412|17009970400|Census Tract 9704|775758165|4112626|G5020|S|20740132130427|17009970500|Census Tract 9705|16107019|31720|G5020|S|36558|0
20790132130412|17009970400|Census Tract 9704|775758165|4112626|G5020|S|20740359790751|17149952400|Census Tract 9524|598328044|3752970|G5020|S|27034|0
20790132130412|17009970400|Census Tract 9704|775758165|4112626|G5020|S|20740157786968|17169970100|Census Tract 9701|764090839|93137|G5020|S|1760|0
20790132130427|17009970500|Census Tract 9705|16070461|31720|G5020|S|20740132130427|17009970500|Census Tract 9705|16107019|31720|G5020|S|16070461|31720
20790334256895|17011964700|Census Tract 9647|361109480|57849|G5020|S|20740334256895|17011964700|Census Tract 9647|361091184|57849|G5020|S|361091184|57849
20790334256895|17011964700|Census Tract 9647|361109480|57849|G5020|S|20740334256873|17011965000|Census Tract 9650|284307289|7998701|G5020|S|18296|0
20790334256890|17011964800|Census Tract 9648|538630803|306374|G5020|S|20740334256890|17011964800|Census Tract 9648|538623786|306374|G5020|S|538623786|306374
20790334256890|17011964800|Census Tract 9648|538630803|306374|G5020|S|20740334256901|17011965600|Census Tract 9656|352720883|706190|G5020|S|6975|0
20790334256890|17011964800|Census Tract 9648|538630803|306374|G5020|S|20740133744851|17073030400|Census Tract 304|455341834|651622|G5020|S|42|0
20790334256884|17011964900|Census Tract 9649|186976768|70934|G5020|S|20740334256884|17011964900|Census Tract 9649|186976768|70934|G5020|S|186976768|70934
20790334256873|17011965000|Census Tract 9650|284289644|7998701|G5020|S|20740334256873|17011965000|Census Tract 9650|284307289|7998701|G5020|S|284288993|7998701
20790334256873|17011965000|Census Tract 9650|284289644|7998701|G5020|S|20740334256918|17011965200|Census Tract 9652|14915962|1650776|G5020|S|651|0
20790334256912|17011965100|Census Tract 9651|45636785|18962|G5020|S|20740334256912|17011965100|Census Tract 9651|45638601|18962|G5020|S|45636785|18962
20790334256918|17011965200|Census Tract 9652|14917127|1650776|G5020|S|20740334256912|17011965100|Census Tract 9651|45638601|18962|G5020|S|1816|0
20790334256918|17011965200|Census Tract 9652|14917127|1650776|G5020|S|20740334256918|17011965200|Census Tract 9652|14915962|1650776|G5020|S|14915311|1650776
20790334256907|17011965300|Census Tract 9653|12525383|0|G5020|S|20740334256907|17011965300|Census Tract 9653|12525383|0|G5020|S|12525383|0
20790334256925|17011965400|Census Tract 9654|27567979|0|G5020|S|20740334256925|17011965400|Census Tract 9654|27599177|0|G5020|S|27567979|0
20790334256878|17011965500|Census Tract 9655|426476958|714128|G5020|S|20740334256925|17011965400|Census Tract 9654|27599177|0|G5020|S|31198|0
20790334256878|17011965500|Census Tract 9655|426476958|714128|G5020|S|20740334256878|17011965500|Census Tract 9655|426485476|714128|G5020|S|426439505|714128
20790334256878|17011965500|Census Tract 9655|426476958|714128|G5020|S|20740334256901|17011965600|Census Tract 9656|352720883|706190|G5020|S|6255|0
20790334256901|17011965600|Census Tract 9656|352753624|706190|G5020|S|20740334256878|17011965500|Census Tract 9655|426485476|714128|G5020|S|45971|0
20790334256901|17011965600|Census Tract 9656|352753624|706190|G5020|S|20740334256901|17011965600|Census Tract 9656|352720883|706190|G5020|S|352707653|706190
20790132705782|17013951200|Census Tract 9512|366003828|25906270|G5020|S|20740132705782|17013951200|Census Tract 9512|366001995|25906270|G5020|S|365999180|25906270
20790132705782|17013951200|Census Tract 9512|366003828|25906270|G5020|S|20740132705797|17013951300|Census Tract 9513|291415249|51145132|G5020|S|4648|0
20790132705797|17013951300|Census Tract 9513|291411356|51145132|G5020|S|20740132705782|17013951200|Census Tract 9512|366001995|25906270|G5020|S|755|0
20790132705797|17013951300|Census Tract 9513|291411356|51145132|G5020|S|20740132705797|17013951300|Census Tract 9513|291415249|51145132|G5020|S|291410601|51145132
20790377040582|17015960100|Census Tract 9601|192994912|1683186|G5020|S|20740377040582|17015960100|Census Tract 9601|192842116|1683186|G5020|S|192842116|1683186
20790377040582|17015960100|Census Tract 9601|192994912|1683186|G5020|S|207401158762361|17177000400|Census Tract 4|279776950|23705|G5020|S|152796|0
20790377040677|17015960200|Census Tract 9602|330892683|20872653|G5020|S|20740377040677|17015960200|Census Tract 9602|354011413|31756022|G5020|S|330887673|20872653
20790377040677|17015960200|Census Tract 9602|330892683|20872653|G5020|S|207401158762361|17177000400|Census Tract 4|279776950|23705|G5020|S|5010|0
20790377040704|17015960300|Census Tract 9603|35158586|12864974|G5020|S|20740377040677|17015960200|Census Tract 9602|354011413|31756022|G5020|S|23123740|10883369
20790377040704|17015960300|Census Tract 9603|35158586|12864974|G5020|S|20740377040704|17015960300|Census Tract 9603|12034846|1981605|G5020|S|12034846|1981605
20790377040609|17015960400|Census Tract 9604|115057399|37192|G5020|S|20740377040609|17015960400|Census Tract 9604|115057399|37192|G5020|S|115057399|37192
20790377040635|17015960500|Census Tract 9605|289415791|29103|G5020|S|20740377040635|17015960500|Census Tract 9605|289415791|29103|G5020|S|289415791|29103
