OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790682922708|55001950100|Census Tract 9501|233951801|17547549|G5020|S|20740682922708|55001950100|Census Tract 9501|233948764|17599430|G5020|S|233939904|17174515
20790682922708|55001950100|Census Tract 9501|233951801|17547549|G5020|S|20740451171520|55057100100|Census Tract 1001|683321569|52665153|G5020|S|9391|371248
20790682922708|55001950100|Census Tract 9501|233951801|17547549|G5020|S|20740459794719|55141011600|Census Tract 116|128725450|4446952|G5020|S|2506|1786
207903699640856|55001950201|Census Tract 9502.01|109489823|7642078|G5020|S|207403699640856|55001950201|Census Tract 9502.01|110129350|7609865|G5020|S|109407517|7234864
207903699640856|55001950201|Census Tract 9502.01|109489823|7642078|G5020|S|207403699640702|55001950202|Census Tract 9502.02|467891428|53141035|G5020|S|0|23
207903699640856|55001950201|Census Tract 9502.01|109489823|7642078|G5020|S|20740682922704|55001950400|Census Tract 9504|235598301|1195071|G5020|S|69064|0
207903699640856|55001950201|Census Tract 9502.01|109489823|7642078|G5020|S|207403718372429|55057100300|Census Tract 1003|168653284|33580661|G5020|S|13242|407191
2079015482746109|55001950203|Census Tract 9502.03|114351980|1368834|G5020|S|207403699640702|55001950202|Census Tract 9502.02|467891428|53141035|G5020|S|114351980|1368834
2079015482745997|55001950204|Census Tract 9502.04|353539448|49159328|G5020|S|207403699640702|55001950202|Census Tract 9502.02|467891428|53141035|G5020|S|353539448|49085685
2079015482745997|55001950204|Census Tract 9502.04|353539448|49159328|G5020|S|20740451171520|55057100100|Census Tract 1001|683321569|52665153|G5020|S|0|73643
20790682922704|55001950400|Census Tract 9504|236242985|1195071|G5020|S|207403699640856|55001950201|Census Tract 9502.01|110129350|7609865|G5020|S|721833|0
20790682922704|55001950400|Census Tract 9504|236242985|1195071|G5020|S|20740682922704|55001950400|Census Tract 9504|235598301|1195071|G5020|S|235521152|1195071
207903699640881|55001950501|Census Tract 9505.01|114019362|19754029|G5020|S|20740682922704|55001950400|Census Tract 9504|235598301|1195071|G5020|S|69|0
207903699640881|55001950501|Census Tract 9505.01|114019362|19754029|G5020|S|207403699640881|55001950501|Census Tract 9505.01|114093685|18716500|G5020|S|114019293|17976386
207903699640881|55001950501|Census Tract 9505.01|114019362|19754029|G5020|S|207403718372429|55057100300|Census Tract 1003|168653284|33580661|G5020|S|0|1725297
207903699640881|55001950501|Census Tract 9505.01|114019362|19754029|G5020|S|20740451171523|55057100400|Census Tract 1004|201693019|3775176|G5020|S|0|52346
207903699640755|55001950502|Census Tract 9505.02|249556184|3145969|G5020|S|20740682922704|55001950400|Census Tract 9504|235598301|1195071|G5020|S|8016|0
207903699640755|55001950502|Census Tract 9505.02|249556184|3145969|G5020|S|207403699640881|55001950501|Census Tract 9505.01|114093685|18716500|G5020|S|24588|6180
207903699640755|55001950502|Census Tract 9505.02|249556184|3145969|G5020|S|207403699640755|55001950502|Census Tract 9505.02|249438579|3530196|G5020|S|249435639|3009054
207903699640755|55001950502|Census Tract 9505.02|249556184|3145969|G5020|S|20740682922707|55001950700|Census Tract 9507|261217781|9156941|G5020|S|41330|4478
207903699640755|55001950502|Census Tract 9505.02|249556184|3145969|G5020|S|20740451171523|55057100400|Census Tract 1004|201693019|3775176|G5020|S|46611|126257
20790682922707|55001950700|Census Tract 9507|261064471|8536124|G5020|S|20740682922707|55001950700|Census Tract 9507|261217781|9156941|G5020|S|261057440|8536124
20790682922707|55001950700|Census Tract 9507|261064471|8536124|G5020|S|20740451171521|55057100700|Census Tract 1007|387290539|5321010|G5020|S|7031|0
