ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
53946,DIF,NM,United States,53946,STATE,0,6394,Wisconsin,1/20/1910,2020,State Agency,11,55,M,9,13641,United States,"FS BANCSHARES, INC.",0,3,84312,84312,,Markesan,ONE,CB,US_Streets,M,STATE,1,0,0,86 East Water Street,0,47555,1249691,47,10004,43.706476,WI,4,CALL,0,Chicago,599643,Ergo Bank,0,,Green Lake,COMMERCIAL LENDING,Central,0,,0,0,,WI,1,Wisconsin,7,FDIC,Chicago,105923,,0,86 East Water Street,-88.986177,,MARKESAN,55047,,Markesan,21,55047,,,Ergo Bank,Markesan,WI,2020_10004_0
53946,DIF,NM,United States,53933,STATE,0,6890,Wisconsin,03/02/1891,2020,State Agency,11,55,M,9,13641,United States,"FS BANCSHARES, INC.",0,3,0,84312,,Fox Lake,ONE,CB,US_Streets,,STATE,0,0,0,86 East Water Street,376,36758,1249691,27,10004,43.566038,WI,4,CALL,0,Chicago,599643,314 West State Street Branch,0,,Dodge,COMMERCIAL LENDING,Central,0,9/28/1991,1,1,,WI,1,Wisconsin,7,FDIC,Chicago,105923,,0,314 West State Street,-88.909526,,MARKESAN,55047,"Milwaukee-Racine-Waukesha, WI",Markesan,21,55027,,,Ergo Bank,Fox Lake,WI,2020_10004_1
53566,DIF,NM,United States,53566,STATE,31540,6400,Wisconsin,1/1/1915,2020,State Agency,11,55,STREETADDRESS,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,215097,215097,,Monroe,ONE,CB,100,"M,E",STATE,1,,0,403 West 8th Street,357,157484,2961347,45,10011,42.603581,WI,4,CALL,0,Chicago,93244,Woodford State Bank,1,,Green,COMMERCIAL LENDING,Central,0,,0,0,,WI,1,Wisconsin,7,FDIC,Chicago,278805,,0,403 West 8th Street,-89.662267,,MONROE,55045,"Madison-Janesville-Beloit, WI",Monroe,21,55045,,"Madison, WI",Woodford State Bank,Monroe,WI,2020_10011_0
53566,DIF,NM,United States,53504,STATE,0,221691,Wisconsin,8/6/1999,2020,State Agency,11,55,M,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,0,215097,,Argyle,ONE,CB,US_Streets,E,STATE,0,,0,403 West 8th Street,0,22192,2961347,65,10011,42.70099,WI,4,CALL,0,Chicago,93244,Argyle Branch,0,,Lafayette,COMMERCIAL LENDING,Central,0,,0,2,,WI,1,Wisconsin,7,FDIC,Chicago,278805,,0,101 Spruce Street,-89.8756,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,Argyle,WI,2020_10011_2
53566,DIF,NM,United States,53587,STATE,0,362475,Wisconsin,10/15/2001,2020,State Agency,11,55,M,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,0,215097,,South Wayne,ONE,CB,US_Zipcode,E,STATE,0,,0,403 West 8th Street,0,20811,2961347,65,10011,42.577433,WI,4,CALL,0,Chicago,93244,South Wayne Branch,0,,Lafayette,COMMERCIAL LENDING,Central,0,,0,4,,WI,1,Wisconsin,7,FDIC,Chicago,278805,,0,212 West High 11,-89.902103,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,South Wayne,WI,2020_10011_4
53566,DIF,NM,United States,53516,STATE,0,7441,Wisconsin,1/1/1917,2020,State Agency,11,55,M,9,0,United States,"WOODFORD BANCSHARES, INC.",0,3,0,215097,,Blanchardville,ONE,CB,US_Streets,E,STATE,0,,0,403 West 8th Street,0,14610,2961347,65,10011,42.810138,WI,4,CALL,0,Chicago,93244,Blanchardville Branch,0,,Lafayette,COMMERCIAL LENDING,Central,0,10/1/2007,0,5,,WI,1,Wisconsin,7,FDIC,Chicago,278805,,0,319 South Main Street,-89.862367,,MONROE,55045,,Monroe,21,55065,,,Woodford State Bank,Blanchardville,WI,2020_10011_5
54909,DIF,NM,United States,54909,STATE,0,6401,Wisconsin,1/1/1901,2020,State Agency,11,55,M,9,11965,United States,"PORTAGE COUNTY BANCSHARES, INC.",0,3,157231,157231,,Almond,ONE,CB,US_Streets,M,STATE,1,,0,1155 County Road D,554,53972,1141133,97,10012,44.258447,WI,4,CALL,0,Chicago,12647,The Portage County Bank,0,,Portage,COMMERCIAL LENDING,Central,0,,1,0,,WI,1,Wisconsin,7,FDIC,Chicago,180582,,0,1155 County Road D,-89.415147,,ALMOND,55097,"Wausau-Stevens Point-Wisconsin Rapids, WI",Almond,21,55097,,,The Portage County Bank,Almond,WI,2020_10012_0
54909,DIF,NM,United States,54467,STATE,0,221692,Wisconsin,9/23/1991,2020,State Agency,11,55,PointAddress,9,11965,United States,"PORTAGE COUNTY BANCSHARES, INC.",0,3,0,157231,,Plover,ONE,CB,100,,STATE,0,,0,1155 County Road D,554,14504,1141133,97,10012,44.46039,WI,4,CALL,0,Chicago,12647,Plover Branch,0,,Portage,COMMERCIAL LENDING,Central,0,,1,1,,WI,1,Wisconsin,7,FDIC,Chicago,180582,,0,2520 Post Road,-89.543011,,ALMOND,55097,"Wausau-Stevens Point-Wisconsin Rapids, WI",Almond,21,55097,,,The Portage County Bank,Plover,WI,2020_10012_1
54909,DIF,NM,United States,54481,STATE,0,469744,Wisconsin,12/17/2007,2020,State Agency,11,55,M,9,11965,United States,"PORTAGE COUNTY BANCSHARES, INC.",0,3,0,157231,,Stevens Point,ONE,CB,US_Zipcode,,STATE,0,,0,1155 County Road D,554,21176,1141133,97,10012,44.503873,WI,4,CALL,0,Chicago,12647,Vern Holmes Drive Branch,0,,Portage,COMMERCIAL LENDING,Central,0,,1,4,,WI,1,Wisconsin,7,FDIC,Chicago,180582,,0,5417 Vern Holmes Drive,-89.639138,,ALMOND,55097,"Wausau-Stevens Point-Wisconsin Rapids, WI",Almond,21,55097,,,The Portage County Bank,Stevens Point,WI,2020_10012_4
54909,DIF,NM,United States,54921,STATE,0,7850,Wisconsin,10/7/1912,2020,State Agency,11,55,M,9,11965,United States,"PORTAGE COUNTY BANCSHARES, INC.",0,3,0,157231,,Bancroft,ONE,CB,91,,STATE,0,,0,1155 County Road D,554,15364,1141133,97,10012,44.309527,WI,4,CALL,0,Chicago,12647,Bancroft Branch,0,,Portage,COMMERCIAL LENDING,Central,0,12/4/2016,1,5,,WI,1,Wisconsin,7,FDIC,Chicago,180582,,0,5496 County Road W,-89.514196,,ALMOND,55097,"Wausau-Stevens Point-Wisconsin Rapids, WI",Almond,21,55097,,,The Portage County Bank,Bancroft,WI,2020_10012_5
