ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
57104,DIF,N,United States,53404,OCC,39540,1631,South Dakota,12/3/1928,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Racine,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,376,49965,1120754,101,3511,42.742337,SD,9,CALL,0,Kansas City,451965,Racine Branch,1,,Racine,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4969,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,1700 Dr. Martin Luther King Drive,-87.795349,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55101,,"Racine, WI","Wells Fargo Bank, National Association",Racine,CA,2019_3511_4969
57104,DIF,N,United States,53211,OCC,33340,10605,South Dakota,5/4/1946,2019,Comptroller of the Currency,11,55,STREETADDRESS,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,98.98,,FED,0,,0,101 N. Phillips Avenue,376,107404,1120754,79,3511,43.092172,SD,9,CALL,0,Kansas City,451965,Shorewood Office Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4970,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,4108 North Oakland Avenue,-87.887427,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",Shorewood,CA,2019_3511_4970
57104,DIF,N,United States,53214,OCC,33340,8248,South Dakota,5/13/1911,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,376,61872,1120754,79,3511,43.017146,SD,9,CALL,0,Kansas City,451965,West Allis Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4971,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,6130 West National Avenue,-87.98914,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",West Allis,CA,2019_3511_4971
57104,DIF,N,United States,53218,OCC,33340,12377,South Dakota,2/6/1962,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,376,36070,1120754,79,3511,43.105065,SD,9,CALL,0,Kansas City,451965,Hampton Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4972,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,7600 West Hampton Avenue,-88.006584,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",Milwaukee,CA,2019_3511_4972
57104,DIF,N,United States,53209,OCC,33340,248109,South Dakota,1/3/1983,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,376,16826,1120754,79,3511,43.111857,SD,9,CALL,0,Kansas City,451965,Villard Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4973,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,3323 West Villard Avenue,-87.954308,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",Milwaukee,CA,2019_3511_4973
57104,DIF,N,United States,53207,OCC,33340,13909,South Dakota,8/3/1970,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Milwaukee,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,376,100333,1120754,79,3511,42.95911,SD,9,CALL,0,Kansas City,451965,Layton Branch,1,,Milwaukee,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4974,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,131 West Layton Avenue,-87.911429,,SAN FRANCISCO,46099,"Milwaukee-Racine-Waukesha, WI",Sioux Falls,3,55079,,"Milwaukee-Waukesha, WI","Wells Fargo Bank, National Association",Milwaukee,CA,2019_3511_4974
57104,DIF,N,United States,54911,OCC,11540,1609,South Dakota,5/22/1911,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Appleton,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,118,172511,1120754,87,3511,44.261674,SD,9,CALL,0,Kansas City,451965,Appleton Downtown Branch,1,,Outagamie,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4975,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,118 South State Street,-88.413646,,SAN FRANCISCO,46099,"Appleton-Oshkosh-Neenah, WI",Sioux Falls,3,55087,,"Appleton, WI","Wells Fargo Bank, National Association",Appleton,CA,2019_3511_4975
57104,DIF,N,United States,53081,OCC,43100,679,South Dakota,07/07/1896,2019,Comptroller of the Currency,11,55,S01,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Sheboygan,MULT,CB,0,,FED,0,,0,101 N. Phillips Avenue,0,78982,1120754,117,3511,43.753136,SD,9,CALL,0,Kansas City,451965,Sheboygan Downtown Branch,1,,Sheboygan,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4976,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,636 Wisconsin Avenue,-87.710233,,SAN FRANCISCO,46099,,Sioux Falls,3,55117,,"Sheboygan, WI","Wells Fargo Bank, National Association",Sheboygan,CA,2019_3511_4976
57104,DIF,N,United States,53085,OCC,43100,187696,South Dakota,11/6/1933,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Sheboygan Falls,MULT,CB,US_Streets,,FED,0,,0,101 N. Phillips Avenue,0,48549,1120754,117,3511,43.728388,SD,9,CALL,0,Kansas City,451965,Sheboygan Falls Branch,1,,Sheboygan,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4978,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,806 Monroe Street,-87.813246,,SAN FRANCISCO,46099,,Sioux Falls,3,55117,,"Sheboygan, WI","Wells Fargo Bank, National Association",Sheboygan Falls,CA,2019_3511_4978
57104,DIF,N,United States,53081,OCC,43100,5778,South Dakota,1/1/1916,2019,Comptroller of the Currency,11,55,M,11,0,United States,WELLS FARGO & COMPANY,0,6,0,1291135000,,Sheboygan,MULT,CB,US_RoofTop,,FED,0,,0,101 N. Phillips Avenue,0,40006,1120754,117,3511,43.72305,SD,9,CALL,0,Kansas City,451965,Sheboygan South Branch,1,,Sheboygan,ALL OTHER > $1 BILLION,West District,0,2/20/2004,0,4979,,WI,1,Wisconsin,9,OCC,Minneapolis,1699842000,,0,1251 Wilson Avenue,-87.721933,,SAN FRANCISCO,46099,,Sioux Falls,3,55117,,"Sheboygan, WI","Wells Fargo Bank, National Association",Sheboygan,CA,2019_3511_4979
