CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Dallas,1,404653,11934,TX,Dominion Bank,11934,635249
Georgetown,1,444350,11935,TX,First Texas Bank,11935,1329168
Lueders,0,826358,11936,TX,Farmers State Bank,11936,9695
Muleshoe,0,945969,11939,TX,Muleshoe State Bank,11939,113444
San Antonio,0,919652,1194,TX,"First Community Bank San Antonio, National Association",1194,135593
Port Lavaca,0,978060,11940,TX,First State Bank and Trust Company,11940,256260
Austin,0,475363,11942,TX,Bank of Texas,11942,77920
Salt Lake City,0,418173,11944,UT,First Security State Bank,11944,24908
Walton,1,851239,11952,WV,"The Poca Valley Bank, Inc.",11952,642782
Petersburg,1,718538,11953,WV,Highlands Bank,11953,396869
Princeton,0,233,11954,WV,"First Community Bank, Inc.",11954,205220
Martinsburg,0,171937,11955,WV,F & M Bank - Martinsburg,11955,103905
Wayne,0,975630,11956,WV,"Bank One, West Virginia, Wayne County, Inc.",11956,88157
Cle Elum,0,58672,11957,WA,Cle Elum State Bank,11957,
Rock Springs,0,553551,11959,WY,First Security Bank of Wyoming,11959,218453
Jackson,0,631431,11962,GA,The Citizens and Southern Bank of Jackson,11962,
Spring Lake,0,296401,11963,NJ,First National State Bank of the Jersey Coast,11963,
Bryan,0,754219,11964,OH,First National Bank Northwest Ohio,11964,542520
Grand Junction,0,375856,11967,CO,"Central Bank Grand Junction, National Association",11967,151928
Huntsville,0,996457,1197,TX,First Financial Bank,1197,182934
Portland,0,458209,11970,ME,Keybank National Association,11970,3772721
Bar Harbor,1,522605,11971,ME,Bar Harbor Bank & Trust,11971,4672493
Gibbon,0,1000557,11972,MN,State Bank of Gibbon,11972,25938
Houston,0,86853,11973,MN,Security State Bank of Houston,11973,11454
Elizabethtown,0,579421,11974,NC,Bank of Elizabethtown,11974,
Tacoma,0,43379,11979,WA,KeyBank National Association,11979,8098878
Llano,1,570558,1198,TX,Arrowhead Bank,1198,296056
Peru,0,34247,11980,IL,"Amcore Bank National Association, Peru",11980,59849
Fond Du Lac,0,905440,11981,WI,"Firstar Bank Fond Du Lac, National Association",11981,423356
Cambridge,0,887210,11982,OH,The Central National Bank at Cambridge,11982,
Barbourville,0,796415,11983,KY,The Union National Bank and Trust Company of Barbourville,11983,194797
Rural Valley,0,208226,11985,PA,The Peoples National Bank of Rural Valley,11985,37410
New Egypt,0,972611,11987,NJ,First National Bank in New Egypt,11987,
Lafayette,0,152646,11990,IN,"Lafayette Savings Bank, FSB",11990,358303
Loraine,0,820057,1200,TX,First State Bank,1200,10844
Eastport,0,502205,12003,ME,Eastport Savings Bank,12003,
Minneapolis,0,926052,12008,MN,Farmers & Mechanics Savings Bank of Minneapolis,12008,
Lawrenceville,0,692517,12009,NJ,Trenton Savings Bank FSB,12009,1372557
Jersey City,1,204004,12010,NJ,Provident Bank,12010,25187481
Elizabeth,1,373601,12013,NJ,Union County Savings Bank,12013,1490109
Jersey City,0,560401,12014,NJ,The Fifth Ward Savings Bank,12014,
Newark,0,501507,12015,NJ,"United States Savings Bank of Newark, N. J.",12015,
Raritan,0,1000306,12016,NJ,Raritan Savings Bank,12016,431533
Rahway,0,148809,12017,NJ,RSI BANK,12017,621113
Mcallen,0,639558,1202,TX,"Texas Commerce Bank - Rio Grande Valley, National Association",1202,743364
Somerville,0,878003,12020,NJ,New Jersey Savings Bank,12020,505482
Burlington,0,88017,12021,NJ,Burlington Savings Bank,12021,
Hoboken,0,91400,12023,NJ,Washington Savings Bank,12023,271879
New Brunswick,0,974709,12026,NJ,New Brunswick Savings Bank,12026,973192
Perth Amboy,0,42701,12029,NJ,Bankers Savings,12029,2566835
Madisonville,0,356855,1204,TX,"Farmers State Bank of Madisonville, Texas",1204,34847
Matador,0,367552,1205,TX,First State Bank of Matador,1205,12522
New York,0,137915,12054,NY,Emigrant Bank,12054,6412660
Mathis,0,371456,1206,TX,First State Bank of Mathis,1206,31694
Marietta,0,396329,12060,OH,The Dime Savings Society of Marietta,12060,
Johnstown,0,864314,12061,PA,Johnstown Interim Bank,12061,344058
West Chester,0,22217,12065,PA,The Bank of Chester County,12065,57766
