CITY,ACTIVE,FED_RSSD,CERT,STALP,NAME,ID,ASSET
Sanford,0,112109,10,ME,Northeast Bank of Sanford,10,
Bentonville,0,105549,100,AR,Bank of Bentonville,100,712714
Wheeling,0,600129,10002,WV,"Progressive Bank, National Association",10002,338215
White Sulphur Springs,0,794831,10003,WV,First Citizens Bank & Trust Company,10003,126549
Markesan,1,599643,10004,WI,Ergo Bank,10004,263059
Green Bay,0,736943,10005,WI,"Valley Bank, Green Bay",10005,227248
Jefferson,0,533245,10006,WI,Jefferson County Bank,10006,64216
Cedarburg,0,284248,10007,WI,Partnership Bank,10007,310272
Elkhart Lake,0,531540,10008,WI,Bank of Elkhart Lake,10008,18781
Delafield,0,665043,10009,WI,"Bank One, Waukesha",10009,711480
Mason,0,49344,1001,MI,Mason State Bank,1001,114443
Monroe,1,93244,10011,WI,Woodford State Bank,10011,509650
Almond,1,12647,10012,WI,The Portage County Bank,10012,212581
Beaver Dam,0,206240,10013,WI,"Bank One, Beaver Dam",10013,274783
Coloma,0,182746,10014,WI,M&I Peoples Bank,10014,118827
New Auburn,1,20053,10015,WI,Security Bank,10015,241081
Prairie Farm,0,48851,10016,WI,First State Bank of Prairie Farm,10016,16016
Oxford,0,715425,10018,NC,The Union National Bank of Oxford,10018,87518
Rochester,0,469205,10022,NH,BankEast National Bank,10022,
Springfield,0,237646,10025,IL,Mercantile Bank of Illinois,10025,2074657
Monticello,0,959742,10026,IL,National Bank of Monticello,10026,78099
Island Pond,0,453400,10029,VT,The Island Pond National Bank,10029,
Detroit,0,542649,1003,MI,Chemical Bank,1003,22460247
Blairsville,0,370329,10030,PA,Blairsville National Bank,10030,
Albion,0,107226,10032,PA,Community National Bank of Norwestern Pennsylvania,10032,73733
Ashland,0,566159,10035,WI,M&I Bank of Ashland,10035,88984
Sycamore,0,534345,10036,IL,The National Bank & Trust Company of Sycamore,10036,632842
Wyandotte,0,270241,10037,MI,Charter Bank,10037,354586
Liberty,0,821054,10038,MO,"Commercial Bank of Liberty, N. A.",10038,82075
Mount Pleasant,0,72043,1004,MI,First America Bank - Mt. Pleasant,1004,83360
Attica,0,378642,10040,IN,The Central National Bank and Trust Company,10040,54266
Onancock,0,587024,10042,VA,First Virginia Bank - Eastern Shore,10042,59763
Fond Du Lac,1,722544,10044,WI,National Exchange Bank and Trust,10044,2933056
West Union,0,978239,10045,WV,"Cornerstone Bank, Inc.",10045,194797
Yonkers,0,496818,10046,NY,First National Bank in Yonkers,10046,
Carrollton,0,901312,10047,OH,The First National Bank at Carrollton,10047,
Mount Pleasant,1,74140,1005,MI,Isabella Bank,1005,2203614
Acworth,0,145031,10051,GA,Bank of Acworth,10051,
Butler,0,108634,10052,GA,Southland Bank,10052,62426
Gainesville,0,561136,10053,GA,Central and Southern Bank of North Georgia,10053,103779
Hiawassee,0,506838,10054,GA,Bank of Hiawassee,10054,377779
Waycross,1,631039,10055,GA,First Southern Bank,10055,334787
Rochelle,0,825735,10056,GA,Colony Bank Wilcox,10056,54379
Sparta,1,37,10057,GA,Bank of Hancock County,10057,84575
Marietta,0,753333,10058,GA,NBG Cobb Bank,10058,
Dublin,0,57134,10059,GA,Farmers & Merchants Bank,10059,390176
New Baltimore,0,84345,1006,MI,Citizens State Bank,1006,168551
Pinehurst,0,894432,10061,GA,Bank of Pinehurst,10061,
Americus,0,14137,10063,GA,The Bank of Commerce,10063,
Cedartown,0,570839,10064,GA,The Commercial National Bank,10064,46765
Fort Valley,0,797234,10066,GA,The Citizens Bank,10066,118568
Stapleton,0,263430,10067,GA,Bank of Stapleton,10067,15164
Union Point,0,163633,10069,GA,Bank of Union Point,10069,
New Haven,0,376741,1007,MI,New Haven Savings Bank,1007,
Atlanta,0,849638,10070,GA,The Hamilton Bank and Trust Company,10070,
Canton,0,135537,10071,GA,Etowah Bank,10071,417469
Camilla,1,132938,10072,GA,Planters and Citizens Bank,10072,145493
Valdosta,0,103536,10073,GA,First State Bank and Trust Company of Valdosta,10073,578096
Cleveland,1,102333,10074,GA,Apex Banking Company of Georgia,10074,73232
Colfax,1,33839,10075,IL,Peoples State Bank of Colfax,10075,47037
Emden,1,860231,10077,IL,Farmers State Bank of Emden,10077,38322
Brooklyn,1,382742,1008,MI,Bank Michigan,1008,159724
Reynolds,0,934646,10080,IL,Reynolds State Bank,10080,108220
Shelbyville,0,234944,10082,IL,First Trust Bank of Shelbyville,10082,75289
Somonauk,0,402949,10083,IL,Farmers State Bank of Somonauk,10083,210403
Stonefort,0,251343,10084,IL,Saline County State Bank,10084,16621
Farmersville,0,264147,10085,IL,State Bank of Farmersville,10085,13771
Western Springs,0,199940,10086,IL,Western Springs National Bank and Trust,10086,186677
Crown Point,0,91745,10088,IN,The Commercial Bank,10088,77075
Troy,0,795445,1009,MI,First of America Bank-Wayne Oakland,1009,713392
Jeffersonville,0,171946,10091,IN,INB Banking Company,10091,644454
Osgood,0,83245,10092,IN,The Ripley County Bank,10092,102779
Greensburg,0,501440,10093,IN,Union Bank and Trust Company of Indiana,10093,352662
Brownstown,0,191243,10094,IN,The Citizens State Bank,10094,29049
Goshen,0,499640,10096,IN,"Society Bank, Goshen",10096,314488
Washington,0,953142,10099,IN,United Southwest Bank,10099,219795
Prescott,0,967943,101,AR,Bank of Prescott,101,68173
Columbus,0,130943,10100,IN,Irwin Union Bank and Trust Company,10100,2839747
Napoleon,1,944047,10101,IN,The Napoleon State Bank,10101,507010
Peru,0,1011348,10104,IN,First of America Bank-Wabash Valley,10104,99001
Vincennes,0,895149,10106,IN,Alliance Bank,10106,117180
Twelve Mile,0,702649,10107,IN,The Twelve Mile State Bank,10107,
Waldron,0,843047,10108,IN,The State Bank of Waldron,10108,40553
Wyatt,0,816845,10109,IN,Farmers State Bank of Wyatt,10109,85305
St. Clair,0,951148,1011,MI,The Commercial and Savings Bank of St. Clair County,1011,256850
Cascade,1,761543,10111,IA,Ohnward Bank & Trust,10111,489249
Cedar Rapids,0,769549,10112,IA,"Mercantile Bank of Cedar Rapids, Iowa",10112,220743
Cherokee,0,802848,10113,IA,Central Trust and Savings Bank,10113,66379
Tipton,0,772240,10114,IA,Community State Bank,10114,118245
Dows,0,595243,10115,IA,Farmers State Bank of Dows,10115,17735
Early,0,676647,10116,IA,Early Savings Bank,10116,12890
Pella,1,936640,10118,IA,Leighton State Bank,10118,293411
Cedar Rapids,0,672742,10119,IA,Hills Bank,10119,62764
Sebewaing,0,833048,1012,MI,First of America Bank-Bay Area,1012,31232
Lowden,1,675341,10120,IA,American Trust and Savings Bank,10120,28689
Durant,1,644646,10121,IA,Liberty Trust & Savings Bank,10121,182910
Traer,1,368344,10122,IA,Farmers Savings Bank & Trust,10122,232530
Coralville,0,84046,10123,IA,First Trust and Savings Bank,10123,52641
Bellevue,0,737249,10124,IA,Andrew Savings Bank,10124,31347
Anamosa,1,758842,10125,IA,Citizens Savings Bank,10125,175037
Bennett,0,854445,10126,IA,Bennett State Bank,10126,38705
Bloomfield,1,179148,10127,IA,Success Bank,10127,267113
Wesley,0,135546,10129,IA,Exchange State Bank,10129,
South Haven,0,382340,1013,MI,Citizens Trust and Savings Bank,1013,206637
Humboldt,0,919942,10130,IA,Bank Iowa,10130,171523
Washington,0,440446,10131,IA,West Chester Savings Bank,10131,45716
Ames,1,805045,10132,IA,Exchange State Bank,10132,146440
Keokuk,0,746148,10133,IA,"Norwest Bank Keokuk, National Association",10133,32739
Cadiz,0,975649,10135,KY,Trigg County Farmers Bank,10135,93070
Georgetown,0,607511,10136,KY,"The Farmers Bank and Trust Company of Georgetown, Kentucky",10136,347923
Grayson,1,812614,10137,KY,The Commercial Bank of Grayson,10137,244276
Madisonville,0,329644,10139,KY,Citizens Bank of Kentucky,10139,790248
Sparta,1,324340,1014,MI,ChoiceOne Bank,1014,4391138
Florence,0,747015,10141,KY,Huntington National Bank of Boone County,10141,57812
Kevil,0,634946,10142,KY,The Kevil Bank,10142,32130
Lexington,0,630210,10143,KY,"Bank One, Lexington, National Association",10143,1604903
Millersburg,0,724016,10144,KY,Farmers Exchange Bank,10144,23142
Munfordville,1,456344,10145,KY,Hart County Bank and Trust Company,10145,24001
Louisville,0,189044,10146,KY,Commonwealth Bank and Trust Company,10146,1299520
Springport,0,389143,10150,MI,Springport State Savings Bank,10150,
Grand Rapids,0,737847,10153,MI,"NBD Grand Rapids, National Association",10153,1335896
White Cloud,0,4549,10155,MI,"The First State Bank, White Cloud, Michigan",10155,36417
Shelby,1,961343,10157,MI,The Shelby State Bank,10157,391544
Bayport,1,144856,10159,MN,First State Bank and Trust,10159,471002
Traverse City,0,230544,1016,MI,Old Kent Bank-Grand Traverse,1016,450147
Holdingford,1,1011656,10160,MN,VersaBank USA National Association,10160,782851
Isanti,0,907257,10161,MN,"Landmark Community Bank, National Association",10161,78338
Le Roy,1,60554,10162,MN,First State Bank Minnesota,10162,105200
Marine On St. Croix,1,990053,10163,MN,Security State Bank of Marine,10163,235431
Long Prairie,0,96357,10164,MN,Lake Country State Bank,10164,74501
Pierz,1,728957,10165,MN,Farmers and Merchants State Bank of Pierz,10165,330978
Prior Lake,0,848752,10166,MN,Prior Lake State Bank,10166,209831
Roseau,1,822051,10167,MN,Citizens State Bank of Roseau,10167,286018
Cannon Falls,1,217059,10168,MN,First Farmers & Merchants Bank,10168,473457
Becker,1,198251,10169,MN,Sherburne State Bank,10169,343385
Williamston,0,432245,1017,MI,Republic Bank - Central,1017,90921
Winsted,0,810151,10170,MN,Flagship Bank Winsted,10170,39053
Avon,0,362753,10171,MN,Avon State Bank,10171,108858
Fairfax,0,44358,10172,MN,Fidelity State Bank of Fairfax,10172,26088
Altura,0,330453,10173,MN,Altura State Bank,10173,48170
Underwood,1,865852,10174,MN,Farmers State Bank of Underwood,10174,111995
Hibbing,1,950356,10175,MN,Security State Bank of Hibbing,10175,146163
Kerkhoven,0,88950,10176,MN,Financial Security Bank,10176,149734
Clara City,0,153456,10177,MN,Americana State Bank of Clara City,10177,8095
Hollandale,1,24659,10178,MN,Produce State Bank,10178,110591
Belgrade,0,393850,10179,MN,North American State Bank,10179,96782
Burlington,0,519548,1018,WI,M&I Bank of Burlington,1018,241111
Onalaska,0,954550,10181,WI,"Merchants Bank, National Association",10181,25193
Stillwater,0,187152,10182,MN,"Norwest Bank Stillwater, National Association",10182,55050
Cook,0,117252,10183,MN,"Farmers and Merchants State Bank of Cook, Incorporated",10183,9759
Clarkfield,0,114251,10184,MN,F & M Bank Minnesota,10184,156998
Elysian,1,13251,10185,MN,Elysian Bank,10185,78786
Fertile,0,16953,10186,MN,First State Bank of Fertile,10186,36577
Gonvick,1,75455,10187,MN,The Northern State Bank of Gonvick,10187,53476
Hutchinson,0,771654,10188,MN,First Bank of Minnesota,10188,20573
Stillwater,0,204255,10189,MN,Cosmopolitan State Bank of Stillwater,10189,47092
Prinsburg,1,787459,10191,MN,PrinsBank,10191,296243
Cambridge,0,151751,10192,MN,Peoples Bank of Commerce,10192,301679
Erhard,0,14856,10193,MN,Erhard State Bank,10193,2548
Pine River,1,729057,10194,MN,Pine River State Bank,10194,183686
Caledonia,0,369958,10195,MN,Community First National Bank of Caledonia,10195,44746
Crookston,0,374354,10196,MN,Northern Sky Bank,10196,90566
Cyrus,1,156457,10197,MN,Hometown Community Bank,10197,103054
Delano,0,283858,10198,MN,State Bank of Delano,10198,93620
Ellsworth,0,12357,10199,MN,Ellsworth State Bank,10199,33320
Paragould,0,589046,102,AR,Security Bank,102,116636
Milwaukee,0,983448,1020,WI,M&I Marshall and Ilsley Bank,1020,44975270
Jeffers,1,1014255,10200,MN,State Bank of Jeffers,10200,39845
Lewiston,0,91651,10201,MN,Security State Bank of Lewiston,10201,66906
Lowry,1,457,10202,MN,Lowry State Bank,10202,86563
Saint Paul,0,829256,10203,MN,"Western Bank, National Association",10203,525710
Erskine,0,43454,10204,MN,American State Bank of Erskine,10204,24308
Isle,0,908151,10205,MN,Rural American Bank - Isle,10205,16765
Howard Lake,0,1012859,10206,MN,Security State Bank of Howard Lake,10206,79388
Alexandria,0,400758,10207,MN,First State Bank of Alexandria,10207,110629
Cottonwood,0,343257,10208,MN,United Southwest Bank,10208,58705
Foley,0,974259,10209,MN,Rural American Bank - Foley,10209,72832
Milwaukee,0,767648,1021,WI,Continental Bank & Trust Co.,1021,
New Brighton,0,717858,10210,MN,Firstar New Brighton Bank,10210,89826
Barrett,0,271556,10211,MN,West Central Bank,10211,39342
Geneva,1,49054,10212,MN,Commerce Bank,10212,226753
Vermillion,1,208057,10214,MN,Vermillion State Bank,10214,936640
Wyoming,0,30258,10216,MN,The RiverBank,10216,419723
Hayward,0,83553,10217,MN,Americana State Bank of Hayward,10217,8080
Hutchinson,1,56258,10218,MN,Citizens Bank & Trust Co.,10218,310003
Platteville,1,988144,1022,WI,"Clare Bank, National Association",1022,342755
East Brunswick Township,0,356501,10222,NJ,Mid State Bank and Trust Company,10222,
Annandale,0,942409,10223,NJ,Hunterdon County Trust Company,10223,
Pitman,0,643117,10226,NJ,Broadway National Bank & Trust Co. of Pitman,10226,
Orange,0,779801,10229,NJ,Orange Valley Bank,10229,
Sheboygan,0,169840,1023,WI,Norwest Bank Wisconsin East Central,1023,431791
Adams,0,905851,10231,ND,Security State Bank of Adams,10231,12248
Dickinson,0,878955,10233,ND,Dakota Community Bank,10233,25427
Mayville,1,821157,10236,ND,The Goose River Bank,10236,179210
Northwood,0,694454,10238,ND,Northwood State Bank,10238,26253
Cudahy,0,112042,1024,WI,M&I South Shore Bank,1024,103341
Ypsilanti,0,250252,10240,ND,Farmers State Bank of Ypsilanti,10240,2926
Beach,0,783554,10241,ND,"Farmers & Merchants Bank, Beach, North Dakota",10241,45465
Golva,1,931159,10243,ND,First State Bank of Golva,10243,120879
West Fargo,0,953656,10245,ND,West Fargo State Bank,10245,54133
Michigan,0,685854,10246,ND,Lamb's Bank of Michigan City,10246,10036
Watford City,1,236153,10248,ND,First International Bank & Trust,10248,6047838
Leeds,0,680055,10249,ND,United Community Bank of North Dakota,10249,384944
Sturgeon Bay,0,280044,1025,WI,Baylake Bank,1025,244917
Velva,1,713252,10250,ND,Peoples State Bank of Velva,10250,206073
Ray,0,766856,10252,ND,Citizens State Bank of Ray,10252,11720
Beulah,1,969059,10253,ND,First Security Bank - West,10253,74118
Akron,0,77516,10254,OH,"National City Bank, Northeast",10254,3235803
Old Fort,1,564324,10255,OH,The Old Fort Banking Company,10255,853794
Canton,0,958017,10258,OH,The Harter Bank & Trust Company,10258,655257
Batesville,0,919447,1026,AR,Boatmen's National Bank of Batesville,1026,161059
Edgerton,0,803210,10263,OH,The Edgerton State Bank Company,10263,40511
Strasburg,0,583428,10265,OH,The Citizens-State Bank of Strasburg,10265,74156
Beverly,1,1010015,10266,OH,The Citizens Bank Company,10266,329652
Bucyrus,0,858210,10267,OH,The Farmers Citizens Bank,10267,372127
Chillicothe,0,905516,10269,OH,The Huntington Bank of Chillicothe,10269,
Blytheville,1,33147,1027,AR,Fm Bank And Trust,1027,1303870
Elmore,0,941710,10270,OH,The Bank of Elmore Company,10270,
Felicity,0,824112,10271,OH,Citizensbank National Associaton,10271,
Fort Recovery,0,831718,10272,OH,The Peoples Bank Company,10272,
Pioneer,0,512325,10274,OH,The Pioneer Banking Company,10274,
Toledo,0,496827,10276,OH,"National City Bank, Northwest",10276,1575568
Willard,0,139526,10277,OH,The Willard United Bank,10277,
Alexandria,0,85614,10278,OH,The Huntington State Bank,10278,163504
Ashville,0,229315,10279,OH,The Ashville Bank,10279,
Fordyce,1,314444,1028,AR,FBT Bank & Mortgage,1028,250512
Caldwell,1,760210,10280,OH,The Farmers and Merchants Bank,10280,134933
Mansfield,0,1003026,10283,OH,"Bank One, Mansfield",10283,421090
Medina,0,528821,10284,OH,AmeriTrust Company of Medina County,10284,
Youngstown,0,304221,10286,OH,Society Bank of Eastern Ohio,10286,154213
Dover,0,876111,10288,OH,The Reeves Banking and Trust Company,10288,
Indiana,0,10429,10293,PA,"Farmers' Bank & Trust Company of Indiana, Pa.",10293,
West Hazleton,0,552910,10298,PA,"The Miners Bank and Trust Company of West Hazleton, Pa.",10298,
Lavaca,0,293549,103,AR,River Valley Bank and Trust,103,80310
West Pittston,0,555519,10300,PA,West Side Bank,10300,39859
Blountville,0,184834,10302,TN,Tri-City Bank and Trust Company,10302,283876
Ducktown,0,828633,10303,TN,The Home Bank,10303,119085
Gates,0,136459,10306,TN,Gates Banking and Trust Company,10306,41198
Chattanooga,1,234739,10307,TN,Builtwell Bank,10307,2302796
Piperton,1,466754,10308,TN,The Bank of Fayette County,10308,1121513
Humboldt,0,93057,10309,TN,Union Planters Bank of West Tennessee,10309,441071
Huntingdon,0,94652,10310,TN,Bank of Huntingdon,10310,159850
Nashville,0,116237,10313,TN,"NationsBank of Tennessee, National Association",10313,6394653
Halls,1,145059,10315,TN,Bank of Halls,10315,134944
Medina,0,451853,10316,TN,Medina Banking Co.,10316,46702
Rutledge,1,715630,10317,TN,Citizens Bank and Trust Company of Grainger County,10317,274617
Sevierville,0,982937,10318,TN,Sevier County Bank,10318,475234
Nashville,1,55635,10319,TN,Citizens Savings Bank and Trust Company,10319,185762
Little Rock,0,883249,1032,AR,Boatmen's National Bank of Arkansas,1032,2106880
Oakland,0,523152,10320,TN,Oakland Deposit Bank,10320,124942
Sevierville,0,980830,10322,TN,Third National Bank in Sevier County,10322,124210
Murfreesboro,0,233835,10324,TN,Mid-South Bank & Trust Company,10324,462260
White Bluff,0,507938,10325,TN,Farmers & Merchants Bank,10325,21688
Alice,0,342858,10326,TX,"Norwest Bank Texas, Alice",10326,162158
Luling,1,954653,10327,TX,Citizens State Bank of Luling,10327,63861
Russellville,0,671343,1033,AR,First National Bank of Russellville,1033,257338
Palmer,1,1017564,10330,TX,Commercial State Bank,10330,121297
Willis,0,437763,10331,TX,Citadel Bank,10331,21874
Bishop,0,35851,10333,TX,The First State Bank,10333,35460
Dallas,0,960560,10334,TX,Oakwood Bank,10334,862027
Rosenberg,0,664260,10335,TX,Rosenberg Bank and Trust,10335,66386
New Waverly,0,706067,10336,TX,"Citizens Bank of Texas, National Association",10336,126530
Russellville,0,930545,1034,AR,Boatmen's National Bank of Russellville,1034,174275
Schertz,1,583268,10344,TX,Schertz Bank & Trust,10344,761914
Shepherd,1,586960,10345,TX,Peoples State Bank,10345,182477
La Grange,0,620453,10346,TX,State Bank,10346,1112358
Taft,0,597667,10347,TX,The First State Bank of Taft,10347,21713
Denton,0,633659,10348,TX,First State Bank of Texas,10348,2124511
La Vernia,0,565059,10349,TX,The State Bank of La Vernia,10349,70652
Waldron,0,746344,1035,AR,First National Bank,1035,85345
Bay City,0,285357,10350,TX,Bay City Bank & Trust Co.,10350,79609
Crowell,1,701857,10352,TX,Crowell State Bank,10352,56919
Ladonia,0,559058,10354,TX,Farmers & Merchants State Bank,10354,13446
Hearne,0,174451,10355,TX,Planters & Merchants State Bank,10355,185361
Celina,0,743651,10356,TX,The First State Bank,10356,90909
Humble,0,581255,10357,TX,First City Bank of Humble,10357,80734
Happy,0,466857,10359,TX,Happy State Bank,10359,6749038
Breese,0,812445,1036,IL,State Bank of Breese,1036,45591
Dallas,0,220554,10360,TX,First State Bank of North Texas,10360,100368
Alamo,0,334750,10361,TX,Alamo Bank of Texas,10361,400610
Onley,0,632625,10362,VA,Farmers & Merchants Bank - Eastern Shore,10362,265914
West Point,1,928421,10363,VA,Citizens and Farmers Bank,10363,2790564
Bluefield,0,603223,10367,VA,Southwest Virginia National Bank,10367,
Mathews,0,946023,10369,VA,Farmers Bank of Mathews,10369,
Chester,0,819248,1037,IL,First Bank,1037,362771
Rocky Mount,0,16823,10370,VA,Bankers Trust Company,10370,
Eastville,0,839022,10371,VA,The Eastville Bank,10371,31076
Exmore,0,362726,10372,VA,The Peoples Trust Bank,10372,26402
Raphine,0,445423,10373,VA,One Valley Bank - Shenandoah,10373,236434
Birnamwood,0,453147,10374,WI,Banner Banks,10374,131598
Dorchester,0,189549,10375,WI,Advantage Community Bank,10375,160033
Hammond,0,170855,10376,WI,Hammond State Bank,10376,14439
New Glarus,1,797140,10378,WI,The Bank of New Glarus,10378,824180
Newton,0,804749,10379,WI,Newton State Bank,10379,11339
Swansea,0,634245,1038,IL,Union Bank of Illinois,1038,184788
Oostburg,1,248745,10380,WI,Oostburg State Bank,10380,429931
Cambridge,0,179344,10381,WI,M&I Bank of Cambridge,10381,40746
Marinette,1,672247,10382,WI,Farmers & Merchants Bank & Trust,10382,173633
La Crosse,1,2631172,10383,WI,State Bank Financial,10383,537110
Waumandee,1,780955,10384,WI,Waumandee State Bank,10384,350631
Edwardsville,0,219343,1039,IL,The Bank of Edwardsville,1039,1943295
Alma,0,307240,104,AR,Commercial Bank at Alma,104,73774
Effingham,1,773247,1040,IL,Midland States Bank,1040,6539611
Brush,1,621151,10407,CO,The Farmers State Bank of Brush,10407,112280
Eldorado,0,636342,1041,IL,"C. P. Burnett & Sons, Bankers",1041,46677
Estes Park,0,168656,10411,CO,United Valley Bank,10411,81422
Lamar,0,193452,10412,CO,Valley State Bank,10412,99061
Pagosa Springs,0,341057,10413,CO,"The Citizens Bank of Pagosa Springs, Colorado",10413,17275
Yuma,0,358055,10417,CO,Farmers State Bank of Yuma,10417,26604
New London,0,303505,10418,CT,The Winthrop Bank and Trust Company,10418,
Greenville,0,959845,1042,IL,First Bank and Trust Company in Greenville,1042,43750
Springfield,0,762308,10424,MA,"Fleet Bank, National Association",10424,6755390
Hartford,0,816407,10425,CT,The Guaranty Bank and Trust Company,10425,
Jewett City,0,48507,10426,CT,The Jewett City Trust Company,10426,41055
Mt. Vernon,0,229548,1043,IL,"Citizens Bank of Illinois, National Association",1043,560559
Cropsey,0,161031,10430,IL,Citizens State Bank of Cropsey,10430,44257
Dix,0,629849,10432,IL,First State Bank of Dix,10432,44598
Girard,0,716842,10433,IL,State Bank of Girard,10433,19379
Graymont,1,937339,10434,IL,State Bank of Graymont,10434,323117
Hull,0,786041,10435,IL,Omni Bank,10435,33206
Manito,0,237637,10436,IL,People's State Bank,10436,47855
Olmsted,1,413347,10437,IL,First State Bank of Olmsted,10437,77512
Raritan,1,749943,10438,IL,Raritan State Bank,10438,255391
Saint Libory,0,487843,10439,IL,The Village Bank,10439,125876
Hillsboro,0,659341,1044,IL,County National Bank,1044,60930
Aurora,0,418342,10440,IL,Benchmark Bank,10440,173062
Villa Park,0,357740,10441,IL,Villa Park Trust & Savings Bank,10441,284758
Collinsville,0,820543,10442,IL,United Illinois Bank of Collinsville,10442,123438
Bowen,0,307231,10443,IL,Bowen State Bank,10443,17413
Bradley,0,310633,10444,IL,Bradley Bank,10444,79017
Paxton,1,687830,10446,IL,"Frederick Community Bank, The",10446,197597
Ashton,0,922830,10447,IL,"AMCORE Bank, Ashton-Rochelle",10447,28799
Chicago,0,5331,10448,IL,Hyde Park Bank and Trust Company,10448,392223
Cornland,0,224833,10449,IL,State Bank of Cornland,10449,6383
Hoyleton,0,963749,1045,IL,Hoyleton State and Savings Bank,1045,19375
Moline,0,2085177,10450,IL,Valley Bank,10450,456442
Plainfield,0,5247,10451,IL,NLSB,10451,1092380
Zion,0,616942,10452,IL,First of America Bank - Zion,10452,109127
Lewistown,0,358336,10454,IL,Farmers State Bank of Lewistown,10454,
Mokena,0,773144,10457,IL,Mokena State Bank,10457,51428
Mount Sterling,1,510947,10458,IL,Farmers State Bank & Trust Co.,10458,130980
Princeton,0,671240,10459,IL,"AMCORE Bank, Princeton",10459,170258
Jacksonville,0,964241,1046,IL,Elliott State Bank,1046,165276
Quincy,1,349343,10460,IL,Town & Country Bank Midwest,10460,286643
Richmond,0,750145,10461,IL,State Financial Bank,10461,69017
Middletown,0,770545,10463,IL,Middletown State Bank,10463,45350
Onarga,1,640143,10464,IL,Federated Bank,10464,134571
Depue,0,720737,10466,IL,Heritage Bank of Bureau County,10466,
Gifford,0,557438,10467,IL,The Gifford State Bank,10467,189640
Golden,0,164742,10468,IL,Golden State Bank,10468,23045
Hutsonville,1,724940,10469,IL,Farmers & Merchants Bank of Hutsonville,10469,53114
Litchfield,1,496845,1047,IL,Bank & Trust Company,1047,644563
Camp Grove,1,302133,10471,IL,Camp Grove State Bank,10471,53758
Carlock,0,303738,10472,IL,Farmers State Bank of Carlock,10472,
Lewistown,1,760434,10473,IL,Ipava State Bank,10473,215111
Lena,1,356239,10474,IL,Citizens State Bank,10474,449197
Bartonville,0,429535,10475,IL,Bartonville Bank,10475,79166
Bloomington,0,390037,10476,IL,Corn Belt Bank,10476,113653
Mitchell,0,235147,10478,IN,The Bank of Mitchell,10478,62790
North Vernon,0,1007444,10479,IN,Union Bank and Trust Company,10479,132438
Poland,0,951643,10480,IN,Peoples State Bank of Clay County,10480,17724
Etna Green,0,487740,10482,IN,The Etna Bank,10482,24220
New Ross,0,20147,10484,IN,Farmers State Bank,10484,68376
Scottsburg,0,753548,10485,IN,The Scott County State Bank,10485,148242
Elgin,0,609645,10489,IA,Elgin State Bank,10489,29543
Steeleville,1,129349,1049,IL,First National Bank of Steeleville,1049,279419
Fayette,0,652744,10490,IA,State Bank of Fayette,10490,13285
Coralville,0,929044,10491,IA,Freedom Security Bank,10491,72811
Iowa City,1,673244,10492,IA,Farmers and Merchants Savings Bank,10492,123935
Mount Vernon,1,890649,10494,IA,Mount Vernon Bank and Trust Company,10494,195567
Ottumwa,0,70740,10495,IA,"Norwest Bank Ottumwa, National Association",10495,63843
Allison,0,850643,10496,IA,State Bank of Allison,10496,17353
Sac City,1,298049,10497,IA,Iowa State Bank,10497,217843
Eldora,0,423748,10498,IA,First National Bank of Eldora,10498,
New Sharon,0,237440,10499,IA,Taintor Savings Bank,10499,20654
Cave City,1,629148,105,AR,Bank of Cave City,105,189551
Winchester,0,274342,1050,IL,Winchester National Bank,1050,27469
Wever,1,380346,10500,IA,Farmers Savings Bank,10500,133585
Bronson,0,9254,10501,KS,The Bank of Bronson,10501,10623
Goodland,0,989758,10502,KS,BANKWEST OF KANSAS,10502,133712
Ness City,1,275657,10503,KS,The First State Bank,10503,85820
Ottawa,1,287959,10505,KS,The Kansas State Bank,10505,199910
Sylvan Grove,0,2451,10506,KS,Thunder Bank,10506,28248
Dexter,0,974857,10507,KS,"Farmers State Bank of Dexter, Kansas",10507,4267
Fredonia,0,985554,10508,KS,The State Bank of Kansas,10508,63411
Hartford,0,535641,1051,KY,Citizens Bank,1051,120974
Madison,0,151256,10510,KS,Madison Bank,10510,9063
Kansas City,0,549750,10511,KS,The Turner State Bank,10511,19323
Greensburg,0,517348,10512,KY,Deposit Bank & Trust Co.,10512,105423
Louisville,0,940348,10513,KY,"PNC Bank, Kentucky, Inc.",10513,4877290
Middleburg,0,449841,10514,KY,"Farmers Deposit Bank of Middleburg, Inc.",10514,44694
Scottsville,0,59745,10515,KY,"Kentucky State Bank of Scottsville, Kentucky",10515,40437
Maysville,0,659510,10518,KY,Community First Bank,10518,45884
Louisville,0,316149,1052,KY,First Kentucky Trust Company,1052,193113
Morehead,1,962313,10520,KY,The Citizens Bank,10520,227919
Verona,0,349512,10521,KY,"Star Bank, Northern Kentucky",10521,31837
Warsaw,0,707448,10522,KY,Community First Bank of Kentucky,10522,81270
Crowley,1,476539,10523,LA,Bank of Commerce & Trust Co.,10523,374604
Dubach,0,927451,10524,LA,Dubach State Bank,10524,27337
Franklin,0,731537,10525,LA,The St. Mary Bank and Trust Company,10525,98811
Leesville,0,258632,10526,LA,The Vernon Bank,10526,74768
Monroe,0,981257,10527,LA,Central Bank,10527,782449
Natchitoches,1,985451,10528,LA,"Exchange Bank and Trust Company, Natchitoches, Louisiana",10528,221046
Winnsboro,1,732253,10531,LA,Citizens Progressive Bank,10531,250034
