ZIP,INSAGNT1,BKCLASS,CNTRYNAB,ZIPBR,CHRTAGNT,MSABR,UNINUMBR,STNAME,SIMS_ESTABLISHED_DATE,YEAR,CHRTAGNN,BRSERTYP,STNUMBR,SIMS_DESCRIPTION,FDICDBS,DOCKET,CNTRYNA,NAMEHCR,UNIT,OCCDIST,DEPSUM,DEPDOM,ESCROW,CITY2BR,HCTMULT,INSURED,SIMS_PROJECTION,BRCENM,CHARTER,BKMO,CONSOLD,DIVISIONB,ADDRESS,CSABR,DEPSUMBR,RSSDHCR,CNTYNUMB,CERT,SIMS_LATITUDE,STALP,SPECGRP,CALL,DENOVO,FDICNAME,RSSDID,NAMEBR,METROBR,NECNAMB,CNTYNAMB,SPECDESC,OCCNAME,NECTABR,SIMS_ACQUIRED_DATE,MICROBR,BRNUM,CB,STALPBR,USA,STNAMEBR,FED,REGAGNT,FEDNAME,ASSET,INSBRTS,PLACENUM,ADDRESBR,SIMS_LONGITUDE,INSBRDD,CITYHCR,STCNTY,CSANAMBR,CITY,CLCODE,STCNTYBR,CBSA_DIV_NAMB,MSANAMB,NAMEFULL,CITYBR,STALPHCR,ID
43240,DIF,N,United States,53202,OCC,33340,1635,Ohio,09/01/1901,2022,Comptroller of the Currency,11,55,PointAddress,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,100,,FED,0,,0,1111 Polaris Pkwy,376,6201779,1039502,79,628,43.03794,OH,1,CALL,0,Chicago,852218,Downtown Main Milwaukee Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2852,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,111 East Wisconsin Avenue,-87.909391,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Milwaukee,NY,2022_00628_2852
43240,DIF,N,United States,53095,OCC,33340,192704,Ohio,04/18/1988,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,West Bend,MULT,CB,US_RoofTop,,FED,0,,0,1111 Polaris Pkwy,376,192713,1039502,131,628,43.397804,OH,1,CALL,0,Chicago,852218,Paradise Branch,1,,Washington,INTERNATIONAL,Large Bank,0,11/13/2004,0,2853,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,600 West Paradise Drive,-88.184361,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55131,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",West Bend,NY,2022_00628_2853
43240,DIF,N,United States,53217,OCC,33340,207524,Ohio,03/29/1968,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,US_Streets,,FED,0,,0,1111 Polaris Pkwy,376,281013,1039502,79,628,43.175545,OH,1,CALL,0,Chicago,852218,North Port Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2855,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,8737 North Port Washington Road,-87.912858,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Fox Point,NY,2022_00628_2855
43240,DIF,N,United States,53224,OCC,33340,4181,Ohio,01/01/1921,2022,Comptroller of the Currency,11,55,StreetAddress,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,100,,FED,0,,0,1111 Polaris Pkwy,376,50563,1039502,79,628,43.177881,OH,1,CALL,0,Chicago,852218,Brown Deer Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2856,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,8800 West Brown Deer Road,-88.021304,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Milwaukee,NY,2022_00628_2856
43240,DIF,N,United States,53212,OCC,33340,8464,Ohio,08/20/1920,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,US_Streets,,FED,0,,0,1111 Polaris Pkwy,376,97833,1039502,79,628,43.089401,OH,1,CALL,0,Chicago,852218,2nd And Capitol Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2857,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,210 West Capitol Drive,-87.912778,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Milwaukee,NY,2022_00628_2857
43240,DIF,N,United States,53212,OCC,33340,229647,Ohio,06/18/1979,2022,Comptroller of the Currency,23,55,StreetAddress,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,100,N,FED,0,,0,1111 Polaris Pkwy,376,0,1039502,79,628,43.089184,OH,1,CALL,0,Chicago,852218,Second And Capitol Drive-Up Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2858,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,211 West Capitol Drive,-87.912524,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Milwaukee,NY,2022_00628_2858
43240,DIF,N,United States,53204,OCC,33340,1615,Ohio,05/08/1912,2022,Comptroller of the Currency,11,55,EXACT,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,100,,FED,0,,0,1111 Polaris Pkwy,376,95586,1039502,79,628,43.017248,OH,1,CALL,0,Chicago,852218,Greenfield & 16th Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2859,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,1337 S Cesar E Chavez Dr,-87.933542,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Milwaukee,NY,2022_00628_2859
43240,DIF,N,United States,53110,OCC,33340,1612,Ohio,10/02/1909,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Cudahy,MULT,CB,US_RoofTop,,FED,0,,0,1111 Polaris Pkwy,376,146274,1039502,79,628,42.958899,OH,1,CALL,0,Chicago,852218,Cudahy Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2860,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,4702 South Packard Avenue,-87.860086,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Cudahy,NY,2022_00628_2860
43240,DIF,N,United States,53213,OCC,33340,9533,Ohio,05/15/1907,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Milwaukee,MULT,CB,US_RoofTop,,FED,0,,0,1111 Polaris Pkwy,376,245205,1039502,79,628,43.04897,OH,1,CALL,0,Chicago,852218,Wauwatosa Branch,1,,Milwaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2861,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,7430 West State Street,-88.006143,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55079,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Wauwatosa,NY,2022_00628_2861
43240,DIF,N,United States,53092,OCC,33340,16533,Ohio,12/16/1981,2022,Comptroller of the Currency,11,55,M,9,0,United States,JPMORGAN CHASE & CO.,0,6,0,2128462000,,Mequon,MULT,CB,US_Streets,,FED,0,,0,1111 Polaris Pkwy,376,190708,1039502,89,628,43.221442,OH,1,CALL,0,Chicago,852218,Mequon Branch,1,,Ozaukee,INTERNATIONAL,Large Bank,0,11/13/2004,0,2863,,WI,1,Wisconsin,4,OCC,Cleveland,3380824000,,0,5909 West Mequon Road,-87.98368,,NEW YORK,39041,"Milwaukee-Racine-Waukesha, WI",Columbus,3,55089,,"Milwaukee-Waukesha, WI","Jpmorgan Chase Bank, National Association",Mequon,NY,2022_00628_2863
